song_title,artist,musical_genre,ethnicity,musical_subgenre,gender
Somethin Out of Nothin' (feat. Saara Maria),Joomanji,r&b,north-american,neo soul,Group
Little Black Submarines,The Black Keys,rock,north-american,permanent wave,Group
Super Mario World,Logic,rap,north-american,hip hop,male
Elixir,Wiki,rap,north-american,hip hop,male
PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),Rejjie Snow,r&b,european,neo soul,male
Sour Patch Kids,Bryce Vine,pop,north-american,indie poptimism,male
Kills You Slowly,The Chainsmokers,pop,north-american,dance pop,Group
Dubai,Mesita,rap,north-american,trap,male
Dale Don Dale,Don Omar,latin,north-american,reggaeton,male
Forever,Capital Kings,edm,north-american,progressive electro house,Group
Heart of Gold - 2009 Remaster,Neil Young,rock,north-american,permanent wave,male
Riot,Three Days Grace,rock,north-american,hard rock,Group
Your Smiling Face,James Taylor,rock,north-american,classic rock,male
Illusion,The Cranberries,rock,european,album rock,Group
Cold Cold Cold,Cage The Elephant,pop,north-american,indie poptimism,Group
Shake Ya Ass,Mystikal,rap,north-american,southern hip hop,male
Roadhouse Blues,The Doors,rock,north-american,classic rock,Group
Move Bitch,Disturbing Tha Peace,rap,north-american,southern hip hop,Group
Same Yung Nigga (feat. Playboi Carti),Gunna,r&b,north-american,urban contemporary,male
Tired,Stone Sour,rock,north-american,hard rock,Group
MONSTERS,Shinedown,rock,north-american,hard rock,Group
Prometo Olvidarte - Remix,Tony Dize,latin,north-american,latin pop,male
Downtown,SWV,r&b,north-american,new jack swing,Group
Bonfire,Miss Li,pop,european,indie poptimism,female
Walking (feat. Swae Lee & Major Lazer),88rising,pop,north-american,post-teen pop,Other
The Pusher,Steppenwolf,rap,north-american,southern hip hop,Group
Say It (feat. Tove Lo) [Illenium Remix],Flume,latin,oceania,tropical,male
FRIENDS - Borgeous Remix,Marshmello,edm,north-american,electro house,male
Somebody That I Used To Know,Gotye,pop,oceania,post-teen pop,male
Everyday & Everynight - Straight Pass,Yvette Michele,r&b,north-american,new jack swing,female
Lean On (feat. MØ & DJ Snake),Major Lazer,pop,latino,indie poptimism,Group
Boys Don't Cry,The Cure,pop,european,electropop,Group
Wait,Maroon 5,pop,north-american,electropop,Group
Paranoid Android - Remastered,Radiohead,rock,european,permanent wave,Group
Get to Know Ya,Maxwell,r&b,north-american,neo soul,male
Royal Flush (feat. André 3000 & Raekwon),Big Boi,rap,north-american,southern hip hop,male
Biggest Joke Of All,Fatima,r&b,asian,neo soul,Group
Halo,Soil,rock,north-american,hard rock,Group
Inside Out (Radio Edit),Five Finger Death Punch,rock,north-american,hard rock,Group
Til You Do Me Right,After 7,r&b,north-american,new jack swing,Group
Feather,Lost Kings,edm,north-american,big room,Group
Feels Like You,MOTi,edm,european,pop edm,male
Shake Me,Cinderella,rock,north-american,hard rock,Group
Sara Smile,Daryl Hall & John Oates,rock,north-american,classic rock,Group
Somebody That I Used To Know,Gotye,latin,oceania,latin hip hop,male
RX,Don Omar,latin,north-american,latin hip hop,male
Alone with You,Tevin Campbell,r&b,north-american,new jack swing,male
Rock You Like a Hurricane,Scorpions,rock,european,classic rock,Group
Toca (feat. Timmy Trumpet & KSHMR),Carnage,edm,north-american,big room,male
Rub You The Right Way - Radio Edit,Johnny Gill,r&b,north-american,new jack swing,male
Non Avere Paura,Tommaso Paradiso,r&b,european,hip pop,male
Kill Em With Kindness,Selena Gomez,pop,north-american,electropop,female
Color Me Badd,Color Me Badd,r&b,north-american,new jack swing,Group
Yeah!!!,Pastor Troy,rap,north-american,southern hip hop,male
Often - Kygo Remix,The Weeknd,edm,north-american,pop edm,male
Here I Go Again - 2018 Remaster,Whitesnake,rock,european,classic rock,Group
Seven Seas Of Rhye - Remastered 2011,Queen,rock,european,album rock,Group
For What It's Worth,Buffalo Springfield,rock,north-american,album rock,Group
Missing You,John Waite,rock,european,album rock,male
North American Ride,Mallory Merk,pop,north-american,indie poptimism,female
Different State of Mind,Kid Bloom,rock,north-american,permanent wave,Group
The City,The Game,rap,north-american,gangster rap,male
Lightenup,Parcels,pop,oceania,indie poptimism,Group
Renegade Music,Papa Roach,rock,north-american,hard rock,Group
Poker Face,Lady Gaga,pop,north-american,post-teen pop,female
Brighter Day,Kirk Franklin,r&b,north-american,urban contemporary,male
Throw Some D's Remix,Rich Boy,rap,north-american,southern hip hop,male
Dreams Money Can Buy,Drake,r&b,north-american,urban contemporary,male
Instagram - Bassjackers Remix,Dimitri Vegas & Like Mike,edm,european,progressive electro house,Group
CASTLE OF GLASS,Linkin Park,pop,north-american,electropop,Group
Whiskey In The Jar,Thin Lizzy,rock,european,hard rock,Group
No Love Like Yours,Edward Sharpe & The Magnetic Zeros,r&b,north-american,neo soul,Group
Moves Like Jagger,Maroon 5,pop,north-american,post-teen pop,Group
Bite,Fickle Friends,pop,european,indie poptimism,Group
Breaking Kind,Steve Angello,pop,european,electropop,male
Yellow Bird,Pretty Lights,latin,north-american,tropical,Group
Invincible - Original Mix,Borgeous,edm,north-american,progressive electro house,male
Deleter,Grouplove,pop,north-american,indie poptimism,Group
Love Will Tear Us Apart - 2010 Remaster,Joy Division,pop,european,electropop,Group
Tempted To Touch (feat. Rupee),Zaeden,latin,asian,tropical,male
Gang Gang,Miami Yacine,rap,european,hip hop,male
BLOCC IS HOT,NLE Choppa,rap,north-american,gangster rap,male
Cut The Cord,Shinedown,rock,north-american,hard rock,Group
Speechless (feat. Erika Sirola),Robin Schulz,pop,european,post-teen pop,male
Under the Milky Way,The Church,rock,oceania,permanent wave,Group
Bizarre Love Triangle,New Order,pop,european,electropop,Group
Selfish - Ale Mora Remix,Dimitri Vegas & Like Mike,edm,european,electro house,Group
Heatwave (feat. Akon) - HUGEL Remix,Robin Schulz,latin,european,tropical,male
Sticky,Ravyn Lenae,r&b,north-american,neo soul,female
Havana (feat. Young Thug),Camila Cabello,pop,north-american,post-teen pop,female
my boy,Billie Eilish,pop,north-american,indie poptimism,female
I'm a Mess - Acoustic,Bebe Rexha,pop,north-american,post-teen pop,female
Dance Monkey,Tones and I,pop,oceania,post-teen pop,female
Unsteady,X Ambassadors,r&b,north-american,urban contemporary,Group
True Colours,Tom Odell,pop,european,indie poptimism,male
Legends (feat. TeamMate),Razihel,edm,european,big room,male
Soy Peor - Remix,Bad Bunny,latin,north-american,latin hip hop,male
Lush Life,Zara Larsson,pop,european,dance pop,female
Farmer In The City,Scott Walker,rock,european,permanent wave,male
"Paint It, Black - Mono",The Rolling Stones,rock,european,classic rock,Group
Look Right Through - MK Vocal Edit,Storm Queen,latin,north-american,tropical,Group
Cell Therapy,Goodie Mob,rap,north-american,southern hip hop,Group
Boyfriend,Big Time Rush,pop,north-american,post-teen pop,Group
Kobe,Chief Keef,rap,north-american,southern hip hop,male
Gimme Shelter,The Rolling Stones,rock,european,hard rock,Group
Que Calor (feat. J Balvin & El Alfa),Major Lazer,latin,latino,latin hip hop,Group
Panic Room - Club Mix,Au/Ra,edm,latino,electro house,female
Chillin' Like a Villain,Sofia Carson,pop,north-american,post-teen pop,female
My Prerogative,Bobby Brown,r&b,north-american,new jack swing,male
Best Part (feat. H.E.R.),Daniel Caesar,pop,north-american,indie poptimism,male
The Same Way,Don Diablo,edm,european,pop edm,male
Body Language (feat. Usher & Tinashe),Kid Ink,pop,north-american,post-teen pop,male
raindrops (an angel cried),Ariana Grande,pop,north-american,post-teen pop,female
Felices los 4,Maluma,latin,latino,latin pop,male
"Big Hearts (feat. Stargate, KYLE)",Netsky,edm,european,progressive electro house,male
Get Your Walk On,Xzibit,rap,north-american,southern hip hop,male
Pianista da Rua 6,Tribo da Periferia,rap,latino,trap,Group
Gettin' in the Way,Jill Scott,r&b,north-american,neo soul,female
One Magic Moment,Bad Suns,pop,north-american,indie poptimism,Group
High Hopes,Panic! At The Disco,pop,north-american,post-teen pop,Group
Insane,Ofenbach,pop,european,dance pop,Group
Change My Mind,Lucie Silvas,r&b,european,neo soul,female
Safer To Hate Her,You Me At Six,pop,european,post-teen pop,Group
Megalomaniac,Incubus,rock,north-american,hard rock,Group
Blue Monday - 2016 Remaster,New Order,rock,european,permanent wave,Group
The Rover,Interpol,rock,north-american,permanent wave,Group
Flame - Kaskade Remix,Tinashe,edm,north-american,pop edm,female
La Vida Sin Ti,Piso 21,latin,latino,latin pop,Group
How We Party,R3HAB,edm,european,big room,male
Bang Bang,Jessie J,pop,european,post-teen pop,female
I Wanna Get Better,Bleachers,pop,north-american,post-teen pop,Group
Oh Yoko! - Remastered 2010,John Lennon,rock,european,album rock,male
Player's Ball,OutKast,rap,north-american,southern hip hop,Group
Vacaciones,Wisin,latin,north-american,latin pop,male
Nobody Like You - RetroVision Flip,Landis,edm,north-american,electro house,male
Haute (feat. J Balvin & Chris Brown),Tyga,latin,north-american,latin pop,male
Solos (feat. Plan B),Tony Dize,latin,north-american,reggaeton,male
Keep Their Heads Ringin',Dr. Dre,rap,north-american,gangster rap,male
PHANTOM,reezy,rap,european,hip hop,male
Vaina Loca,Ozuna,latin,north-american,reggaeton,male
Blue Sky,The Allman Brothers Band,rock,north-american,classic rock,Group
Poco A Poco,Luis Fonsi,latin,north-american,latin hip hop,male
Laisse aller,Nekfeu,r&b,european,urban contemporary,male
Moi Lolita (feat. OT),Palm Trees,latin,european,tropical,male
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,rock,european,hard rock,Group
YES or YES,TWICE,pop,asian,dance pop,Group
Aftershock (feat. Jacquie),Cash Cash,edm,north-american,progressive electro house,Group
Parasite,KISS,rock,north-american,hard rock,Group
Talk to Me Baby,Elmore James,rock,north-american,classic rock,male
No Vacancy (feat. Amir),OneRepublic,pop,north-american,electropop,Group
Tequila Sunrise,Cali Y El Dandee,latin,latino,reggaeton,Group
Pa' Mala Yo,Natti Natasha,latin,latino,reggaeton,female
Envidias,Tres Coronas,rap,north-american,gangster rap,Group
Come Get Her,Rae Sremmurd,rap,north-american,hip hop,Group
Somewhere New (feat. M-22) - Radio Edit,Klingande,pop,european,indie poptimism,Group
Your Love Gets Sweeter,Finley Quaye,r&b,european,urban contemporary,male
Take It Off,Lil Jon,edm,north-american,pop edm,male
BAMF,Pegboard Nerds,edm,european,big room,Group
Never Change,Don Diablo,edm,european,electro house,male
She Wolf (Falling to Pieces) (feat. Sia),David Guetta,pop,european,electropop,male
Mi primer millon,Bacilos,latin,north-american,latin pop,Group
When Legends Rise,Godsmack,rock,north-american,hard rock,Group
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,edm,european,electro house,male
Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,rap,north-american,gangster rap,male
White Christmas (feat. Clyde McPhatter & Bill Pinckney),The Drifters,r&b,north-american,neo soul,Group
Somewhere Only We Know,Keane,rock,european,permanent wave,Group
Blah Blah Blah,Armin van Buuren,edm,european,progressive electro house,male
Thinking out Loud,Ed Sheeran,pop,european,post-teen pop,male
Fast Car,Jonas Blue,pop,european,electropop,male
Delight,Solitary Experiments,pop,european,electropop,Group
Elevate,Papa Roach,rock,north-american,hard rock,Group
Call You Mine,The Chainsmokers,latin,north-american,latin pop,Group
You Know You Like It,DJ Snake,pop,european,electropop,male
Darkside,Alan Walker,pop,european,electropop,male
Ella Y Yo,Aventura,latin,north-american,latin hip hop,Group
Infinity,Jaymes Young,pop,north-american,indie poptimism,male
Payasos,Romeo Santos,latin,north-american,tropical,male
Iron Man,Black Sabbath,rock,european,hard rock,Group
Roll Some Mo,Lucky Daye,r&b,north-american,neo soul,male
Back to Earth (feat. Fall Out Boy),Steve Aoki,edm,north-american,progressive electro house,male
Want You,Shay Lia,r&b,north-american,neo soul,female
Say Less,Lisi,rap,european,hip hop,female
My Best Friend's Girl,The Cars,rock,north-american,classic rock,Group
Abuso,Brytiago,rap,north-american,trap,male
Rainbow in the Dark,Dio,rock,north-american,classic rock,Group
Never Give Up,Sia,pop,oceania,electropop,female
"Sit Still, Look Pretty",Daya,pop,north-american,indie poptimism,female
Young Niggas,The Game,rap,north-american,southern hip hop,male
Sweat (A La La La La Long),Inner Circle,pop,latino,dance pop,Group
Lost!,Coldplay,rock,european,permanent wave,Group
Magic,KSHMR,edm,north-american,big room,male
All I Can Do Is Write About It,Lynyrd Skynyrd,rock,north-american,classic rock,Group
fallin',Idaly,latin,european,latin hip hop,male
Que Calor (feat. J Balvin & El Alfa),Major Lazer,pop,latino,dance pop,Group
La Calle De Las Sirenas,Kabah,pop,north-american,electropop,Group
One,Fates Warning,rock,north-american,album rock,Group
Running Man,Rexx Life Raj,rap,north-american,southern hip hop,male
Get On Up,Jodeci,r&b,north-american,new jack swing,Group
Two Steps,Alice Russell,r&b,european,neo soul,female
El Chivo (feat. T3r Elemento),Berner,rap,north-american,hip hop,male
Should've Known Better (feat. Anne-Marie),Clean Bandit,pop,european,electropop,Group
Break Free,Ariana Grande,latin,north-american,latin hip hop,female
Down Came the Rain,Electric Light Orchestra,rock,european,classic rock,Group
Without You (feat. Usher),David Guetta,latin,european,latin hip hop,male
Just Kissed My Baby,The Meters,r&b,north-american,urban contemporary,Group
Freedom,David Guetta,edm,european,progressive electro house,male
Perfect Strangers,Jonas Blue,pop,european,electropop,male
Bad Blood,Neil Sedaka,rock,north-american,album rock,male
Hand On the Pump,Cypress Hill,rap,north-american,southern hip hop,Group
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,pop,european,post-teen pop,Group
Faucet Failure,Ski Mask The Slump God,rap,north-american,gangster rap,male
Panic Station,Muse,rock,european,permanent wave,Group
Sin Compromiso (Remix),J Balvin,latin,latino,reggaeton,male
The Will To Live,Ben Harper,rock,north-american,album rock,male
Pookie (feat. Lil Pump) - Remix,Aya Nakamura,rap,european,southern hip hop,female
De México el Auténtico,Cartel De Santa,rap,north-american,gangster rap,Group
I Think I Love You,Dwele,r&b,north-american,neo soul,male
The Mother We Share,CHVRCHES,pop,european,indie poptimism,Group
Rio - 2001 Remastered Version,Duran Duran,rock,european,permanent wave,Group
Echoes,Camel,rock,european,album rock,Group
Een Barkie,De Jeugd Van Tegenwoordig,rap,european,southern hip hop,Group
Erase Me - Main,Kid Cudi,rap,north-american,southern hip hop,male
Eleven,Khalid,latin,north-american,latin pop,male
Bellaquita,Dalex,rap,north-american,trap,male
We Find Love,Daniel Caesar,r&b,north-american,urban contemporary,male
Superstar,Tye Tribbett,r&b,north-american,neo soul,male
Numb Numb,Juvenile,rap,north-american,southern hip hop,male
Here I Go Again,Whitesnake,pop,european,electropop,Group
Débrouillard,Damso,r&b,european,urban contemporary,male
Soak Me in Bleach,The Amity Affliction,rock,oceania,hard rock,Group
Sweet Life,Jeezy,pop,north-american,electropop,male
Kevin,Otsochodzi,rap,european,hip hop,male
Save Me (feat. Eneli) (feat. Eneli) - Mert Oksuz Remix,Mahmut Orhan,edm,asian,pop edm,male
Do Me!,Bell Biv DeVoe,r&b,north-american,new jack swing,Group
Needed Me,Rihanna,latin,north-american,latin hip hop,female
Jesus Piece,The Game,rap,north-american,southern hip hop,male
How You Love Me (feat. Conor Maynard & Snoop Dogg) - Thomas Gold Remix,Hardwell,edm,european,big room,male
The Way You Love Me,Karyn White,r&b,north-american,new jack swing,female
Kletter nicht durchs Fenster rein,Haze,rap,european,gangster rap,Group
Zebra,John Butler Trio,rock,oceania,album rock,Group
Pictures of You,The Cure,rock,european,permanent wave,Group
Aerials,System Of A Down,rock,north-american,hard rock,Group
I Miss You,Aaron Hall,r&b,north-american,new jack swing,male
House Party,Sam Hunt,latin,north-american,latin hip hop,male
BBQ Sauce,Sean Price,rap,north-american,southern hip hop,male
Dance Tonight,Lucy Pearl,r&b,north-american,neo soul,Group
Can't Stop,After 7,r&b,north-american,new jack swing,Group
Everywhere,Michelle Branch,pop,north-american,post-teen pop,female
An End Has a Start,Editors,rock,european,permanent wave,Group
Mercedes Boy - Single Remix Version,Pebbles,r&b,north-american,new jack swing,female
Feel the Love - Klaas Increase Mix,Klaas,edm,european,progressive electro house,male
Blank Space,Taylor Swift,pop,north-american,post-teen pop,female
Answer to Love,Dexter,pop,european,indie poptimism,male
Lookin,Playboi Carti,rap,north-american,southern hip hop,male
Cool Side Of The Pillow,Kyle Dion,r&b,north-american,neo soul,male
Sharp Dressed Man - 2008 Remaster,ZZ Top,rock,north-american,album rock,Group
La Carretera,Javiera Mena,pop,latino,electropop,female
Grown Up,Danny Brown,pop,north-american,dance pop,male
Child In Your Arms (Capital Kings Remix) [feat. Aaron Cole],Ryan Stevenson,edm,north-american,progressive electro house,male
Abarajame,Illya Kuryaki & The Valderramas,latin,latino,latin hip hop,Group
Hotline Bling,Drake,pop,north-american,electropop,male
Satellites,Capital Kings,edm,north-american,progressive electro house,Group
Die For You,Otherwise,rock,north-american,hard rock,Group
De Qué Sirve,Paulina Rubio,latin,north-american,latin pop,female
Beautiful World - Radio Edit,Blasterjaxx,edm,european,big room,Group
They Told Me,Palm Trees,pop,european,indie poptimism,male
Eject,CHRIS YONGE,rap,north-american,southern hip hop,male
Nunca Me Amo,Jon Z,rap,north-american,trap,male
Worldwide,Otsochodzi,rap,european,trap,male
Trampled Under Foot - 2007 Remastered Version,Led Zeppelin,rock,european,hard rock,Group
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,rap,north-american,southern hip hop,male
Paranoia,Frijo,rap,latino,trap,male
Ahora Te Puedes Marchar,Luis Miguel,latin,north-american,latin pop,male
Children Of The Wild (feat. Mako),Steve Angello,edm,european,progressive electro house,male
We Dem Boyz,Wiz Khalifa,rap,north-american,southern hip hop,male
Just Friends (Sunny),Musiq Soulchild,r&b,north-american,new jack swing,male
Hot N Cold,Katy Perry,pop,north-american,post-teen pop,female
lucid,slenderbodies,pop,north-american,indie poptimism,Group
Making Plans For Nigel,Nouvelle Vague,latin,european,tropical,Group
New - Mokita & GOLDHOUSE Remix,Daya,edm,north-american,pop edm,female
2 Cigarettes,Jack & Jack,r&b,north-american,urban contemporary,Group
Bia' Bia',Lil Jon,rap,north-american,southern hip hop,male
"Alright - 7"" House Mix With Rap",Janet Jackson,r&b,north-american,new jack swing,female
Call Me A Spaceman - Radio Edit,Hardwell,edm,european,big room,male
Cough Syrup,Young the Giant,pop,north-american,post-teen pop,Group
Money On My Mind,Daz Dillinger,rap,north-american,southern hip hop,male
Scars,Papa Roach,rock,north-american,permanent wave,Group
Empty Space,James Arthur,pop,european,electropop,male
A Moment In A Million Years,Scorpions,rock,european,hard rock,Group
Mocca - Remix,Lalo Ebratt,latin,latino,latin hip hop,male
Avanti Avanti (feat. Celo & Abdi & Hanybal),Reda Rwena,rap,european,gangster rap,male
Livin' On A Prayer,Bon Jovi,rock,north-american,classic rock,Group
U - W&W Remix,Gareth Emery,edm,european,progressive electro house,male
DRIP,HINAPIA,pop,asian,dance pop,Group
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,pop,european,dance pop,male
Faded - Dash Berlin Remix,Alan Walker,pop,european,electropop,male
She Hates Me,Puddle Of Mudd,rock,north-american,hard rock,Group
Sunrise (feat. Jason Walker),Kygo,pop,european,electropop,male
When I'm With U,Tritonal,pop,north-american,indie poptimism,Group
Stars,VIZE,edm,european,electro house,Group
Malibu,Miley Cyrus,pop,north-american,electropop,non-binary
Complicated Heart - 2014 Remastered Version,Michael Learns To Rock,rock,european,album rock,Group
Emotionless,Drake,r&b,north-american,hip pop,male
flaga,chillwagon,rap,european,trap,Group
Want U 2,Marshmello,edm,north-american,pop edm,male
Heart Attack,Demi Lovato,pop,north-american,post-teen pop,non-binary
make daddy proud,blackbear,pop,north-american,electropop,male
McDonalds Rich,SAINt JHN,rap,latino,gangster rap,male
Can You Stand The Rain,New Edition,r&b,north-american,urban contemporary,Group
I'm Not The Only One,Sam Smith,r&b,european,urban contemporary,non-binary
I'm Heavy,LOOPERS,edm,european,electro house,male
"Vuela, Vuela (feat. Mercurio, OV7, JNS, Calo & Litzy) - En Vivo - 90's Pop Tour, Vol. 3",Magneto,latin,north-american,latin pop,Group
White Clouds - Radio Edit,DVBBS,edm,north-american,electro house,Group
Dembow,Tommy Boysen,latin,latino,reggaeton,male
King Kunta,Kendrick Lamar,pop,north-american,post-teen pop,male
Loco Loco (feat. Kelvis Ochoa & Gilberto Santa Rosa),Gente De Zona,r&b,latino,urban contemporary,Group
Strike Back,We As Human,rock,north-american,hard rock,Group
Ny Champagne,Camilo & Grande,latin,european,latin hip hop,Group
Higher Love - Full Album Version,Steve Winwood,rock,european,album rock,male
Change,Tunnel Rats,r&b,north-american,neo soul,Group
Runaway,Bon Jovi,rock,north-american,classic rock,Group
Quisiera,Natalie Perez,latin,latino,tropical,female
Candy,Doja Cat,pop,north-american,electropop,female
Lightning In A Bottle,The Summer Set,pop,north-american,post-teen pop,Group
You Dropped A Bomb On Me,The Gap Band,r&b,north-american,urban contemporary,Group
Coming Home,SWV,r&b,north-american,new jack swing,Group
Zombie,Bad Wolves,rock,north-american,hard rock,Group
Cuando Pase El Temblor - En Vivo,Soda Stereo,rock,latino,album rock,Group
Sovereign Light Café (Afrojack vs. Keane) - Afrojack Remix,Keane,edm,european,progressive electro house,Group
WILD - Young Bombs Remix,Troye Sivan,edm,oceania,pop edm,male
Dreamworld,Robin Thicke,r&b,north-american,neo soul,male
Volverte A Ver - MTV Unplugged,Juanes,latin,latino,latin pop,male
Live Fast - PUBGM,Alan Walker,r&b,european,urban contemporary,male
Hablar de Ti,Gepe,latin,latino,tropical,Person
Cool It Now - Single Version,New Edition,r&b,north-american,new jack swing,Group
Stand Out Fit In,ONE OK ROCK,rock,asian,album rock,Group
Fantastic Voyage,Coolio,rap,north-american,gangster rap,male
A Long Walk - Remastered,Jill Scott,r&b,north-american,neo soul,female
Parabola,TOOL,rock,north-american,hard rock,Group
Crazy,Gnarls Barkley,rock,north-american,album rock,Group
Hands To Myself - Fareoh Remix,Selena Gomez,edm,north-american,pop edm,female
Smell the Roses,Roger Waters,rock,european,classic rock,male
What's Up Fatlip,Fatlip,rap,north-american,southern hip hop,male
I Need Your Help,Deitrick Haddon,r&b,north-american,urban contemporary,male
When Your Heart Is A Stranger,Friends In Paris,pop,european,indie poptimism,Group
One Way Ticket,ONE OK ROCK,rock,asian,album rock,Group
Fuego,DJ Snake,latin,european,latin hip hop,male
Won't Get Fooled Again - Remix,The Who,rock,european,classic rock,Group
Hip Hop Hooray,Naughty By Nature,rap,north-american,southern hip hop,Group
Alone,Of Virtue,rock,north-american,hard rock,Group
Be Like You,CVBZ,latin,north-american,tropical,male
Is This Love - Remix,Bob Marley & The Wailers,latin,latino,tropical,Group
Don't Stop The Madness,Hardwell,edm,european,big room,male
Cheap Thrills Remix,Sia,edm,oceania,pop edm,female
Wrap My Body Tight - Single Mix,Johnny Gill,r&b,north-american,new jack swing,male
There is no other time,Klaxons,pop,european,post-teen pop,Group
Loaded Gun,6LACK,r&b,north-american,urban contemporary,male
Runnin' with the Devil - 2004 Remaster,Van Halen,rock,north-american,hard rock,Group
Hurt My Heart,White Lies,rock,european,permanent wave,Group
Sobredosis (feat. Ozuna),Romeo Santos,latin,north-american,tropical,male
Little Lion Man - Live,Mumford & Sons,latin,european,latin pop,Group
Outside Looking In,Jordan Pruitt,pop,north-american,post-teen pop,female
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,pop,north-american,post-teen pop,Group
Say It - Illenium Remix,Flume,latin,oceania,tropical,male
Rhyme Or Reason,Eminem,pop,north-american,post-teen pop,male
Lose My Mind (feat. Mr Gabriel),Jai Wolf,pop,north-american,indie poptimism,male
Antidote,Travis Scott,rap,north-american,hip hop,male
Location,Khalid,rap,north-american,hip hop,male
I'm Shakin',Jack White,rock,north-american,classic rock,male
Amante Bandido,Miguel Bosé,latin,european,latin pop,male
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,pop,north-american,post-teen pop,male
I Like Me Better,Lauv,pop,north-american,post-teen pop,male
I Will Wait - Live,Mumford & Sons,latin,european,latin pop,Group
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,pop,north-american,dance pop,male
Take It to da House,Trick Daddy,rap,north-american,southern hip hop,male
Fine Lines,Jorja Smith,r&b,european,neo soul,female
Heat (feat. Gunna),Chris Brown,r&b,north-american,neo soul,male
Chantaje,Shakira,latin,latino,latin hip hop,female
Lola Montez,Volbeat,rock,european,hard rock,Group
Champagne Supernova - Remastered,Oasis,rock,european,permanent wave,Group
If I Ain't Got You,Dan Talevski,pop,north-american,indie poptimism,male
I Can't Wait - 2012 Collection Remaster,Nu Shooz,latin,north-american,latin hip hop,Group
Burn - 2004 Remix,Deep Purple,rock,european,hard rock,Group
Viernes 13,KAKTOV,rap,latino,trap,male
The Boys Are Back In Town,Thin Lizzy,rock,european,hard rock,Group
Alright,Ledisi,r&b,north-american,neo soul,female
hostage,Billie Eilish,r&b,north-american,urban contemporary,female
Polaroid,Jonas Blue,pop,european,indie poptimism,male
Guerrilla Radio,Rage Against The Machine,rock,north-american,hard rock,Group
Last Name (feat. Lil Durk),Future,r&b,north-american,urban contemporary,male
My Melancholy Blues - Remastered 2011,Queen,rock,european,album rock,Group
How Low,Ludacris,rap,north-american,southern hip hop,male
Drunk All the Time (feat. Simon Lord),Dillon Francis,pop,north-american,electropop,male
Foolin',Def Leppard,rock,european,album rock,Group
Sleepy Eyes,Elohim,pop,north-american,indie poptimism,female
Crazy Heart,The Cranberries,rock,european,album rock,Group
Murder,UGK,rap,north-american,southern hip hop,Group
Just Got Paid,ZZ Top,rock,north-american,hard rock,Group
Truck Drivin' Man - Demo Version,Lynyrd Skynyrd,rock,north-american,classic rock,Group
Lodi,Creedence Clearwater Revival,rock,north-american,classic rock,Group
Black Is The Soul,Korn,rock,north-american,hard rock,Group
La Nueva Y La Ex,Daddy Yankee,latin,north-american,reggaeton,male
Getting Away With Murder,Papa Roach,rock,north-american,hard rock,Group
Grey Luh,Berhana,r&b,north-american,neo soul,male
Symphony (feat. Zara Larsson),Clean Bandit,pop,european,electropop,Group
Diary Of A Madman,Scarface,rap,north-american,southern hip hop,male
The Left Side of Everywhere,Sleeping With Sirens,pop,north-american,post-teen pop,Group
Sad Tonight,Chelsea Cutler,r&b,north-american,hip pop,female
Te Hace Falta,Baby Rasta & Gringo,latin,north-american,reggaeton,Group
I Love Your Smile,Shanice,r&b,north-american,new jack swing,female
Chandeliers,Tyga,rap,north-american,gangster rap,male
Hard To Handle,The Black Crowes,rock,north-american,classic rock,Group
The Sweetest Taboo - Remastered,Sade,rock,european,album rock,Group
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,rock,european,permanent wave,Group
Cannabis,Cartel De Santa,rap,north-american,gangster rap,Group
Gunfight,Sick Puppies,rock,oceania,hard rock,Group
Ransom,Lil Tecca,rap,north-american,hip hop,male
Bigroom Blitz - Radio Mix,Scooter,edm,european,electro house,Group
Drogadicto en Serie,Crack Family,rap,latino,gangster rap,Group
Power,Hardwell,edm,european,big room,male
Noypi,Bamboo,rock,asian,classic rock,Group
Breathe Again,Toni Braxton,r&b,north-american,new jack swing,female
Rock Bottom - 2007 Remastered Version,UFO,rock,european,hard rock,Group
Payphone,Maroon 5,pop,north-american,dance pop,Group
Hey DJ,CNCO,latin,north-american,latin pop,Group
Deja Tus Besos - Remix,Natti Natasha,latin,latino,reggaeton,female
Sweet,Jehro,rock,european,album rock,male
Bang Bang,Jessie J,edm,european,pop edm,female
Colourblind - Radio Edit,Thomas Gold,edm,european,progressive electro house,male
The Palisades,Childish Gambino,pop,north-american,indie poptimism,male
Wiggle,Willie Clayton,rap,north-american,southern hip hop,male
With You,Kaskade,pop,north-american,dance pop,male
What You Say,Cabela and Schmitt,latin,north-american,latin pop,Group
Take It To Reality,Alison Wonderland,pop,oceania,indie poptimism,female
