song_title,artist,language,musical_genre,ethnicity,musical_subgenre,gender,lyric_length,needs_translation
Lucid Dreams,Juice WRLD,en,latin,north-american,latin pop,male,597,0
Rules,Doja Cat,en,r&b,north-american,urban contemporary,female,660,0
Desconocidos,Mau y Ricky,es,latin,latino,latin pop,Group,1119,1
Ain't Nobody Worryin',Anthony Hamilton,en,r&b,north-american,neo soul,male,392,0
Too Far Gone,Lost Kings,en,pop,north-american,indie poptimism,Group,341,0
Runnin' Down A Dream,Tom Petty,en,rock,north-american,classic rock,male,180,0
Every Little Step,Bobby Brown,en,rock,north-american,classic rock,male,1112,0
With Arms Wide Open - New Version With Strings,Creed,en,rock,north-american,permanent wave,Group,196,0
Everyday - Remastered,Jamiroquai,en,r&b,european,neo soul,Group,269,0
Back Door Santa,Clarence Carter,en,r&b,north-american,neo soul,male,255,0
Call The Law - Main Version - Explicit,OutKast,en,pop,north-american,electropop,Group,812,0
Don't Worry Bout Me - Alle Farben Remix,Zara Larsson,en,pop,european,dance pop,female,341,0
Whatchusay,Sevyn Streeter,en,r&b,north-american,urban contemporary,female,465,0
Blinding Lights,The Weeknd,en,pop,north-american,dance pop,male,2040,0
Don't Leave Me Alone (feat. Anne-Marie) - Oliver Heldens Remix,David Guetta,en,edm,european,progressive electro house,male,346,0
Round and Round,Ratt,en,rock,north-american,classic rock,Group,626,0
On The Real Tip,Def Jef,en,r&b,north-american,new jack swing,male,772,0
Dein Anblick,Schandmaul,de,pop,european,electropop,Group,199,1
Working for the Weekend,Loverboy,en,rock,north-american,classic rock,Group,430,0
Bounce Back,Big Sean,en,rap,north-american,southern hip hop,male,1362,0
She Said,Sundara Karma,en,pop,european,indie poptimism,Group,403,0
For The Turnstiles,The Be Good Tanyas,en,r&b,north-american,hip pop,Group,130,0
Should've Said It,Camila Cabello,en,r&b,north-american,hip pop,female,415,0
Hold On,Stisema,en,latin,european,tropical,male,212,0
Rosa Parks,OutKast,en,rap,north-american,southern hip hop,Group,1940,0
Scars (Come With Livin') - Neon Feather Remix,TobyMac,en,pop,north-american,dance pop,male,581,0
Purple Haze,Jimi Hendrix,en,rock,north-american,hard rock,male,127,0
Espejo,Javiera Mena,es,pop,latino,electropop,female,143,1
What's on Your Mind (Pure Energy),Information Society,en,rock,north-american,permanent wave,Group,267,0
Sandmann,OOMPH!,de,pop,european,electropop,Group,280,1
Bad Romance,Lady Gaga,en,pop,north-american,post-teen pop,female,1989,0
Here I Go,Mystikal,en,rap,north-american,southern hip hop,male,856,0
Nowhere to Run,Brennan Savage,en,rap,north-american,gangster rap,male,320,0
Sundown,Gordon Lightfoot,en,rock,north-american,hard rock,male,236,0
Work from Home,Fifth Harmony,en,pop,north-american,electropop,Group,982,0
Mi Gente (feat. Beyoncé),J Balvin,es,rap,latino,southern hip hop,male,280,1
Get Up (Rattle) - Vocal Extended Version,Bingo Players,en,edm,european,progressive electro house,Group,285,0
Ridin' the Storm Out,REO Speedwagon,en,rock,north-american,album rock,Group,110,0
Listen To What The Man Said - Remastered 2014,Wings,en,rock,european,album rock,Group,215,0
Loud Places (feat. Romy),Jamie xx,en,edm,european,electro house,male,205,0
Let Me Entertain You,Robbie Williams,en,rock,european,permanent wave,male,308,0
My head is a Jungle - MK Remix [Radio Edit],Wankelmut,en,pop,european,post-teen pop,male,223,0
En La Cama (feat. Daddy Yankee),Nicky Jam,es,latin,north-american,latin hip hop,male,465,1
Andar em Paz,Urias,pt,latin,latino,tropical,female,244,1
Raincoat - Ashworth Remix,Timeflies,en,edm,north-american,pop edm,Group,515,0
Every Breath You Take,The Police,en,pop,european,electropop,Group,326,0
Dancing On The Ceiling,Lionel Richie,en,rock,north-american,album rock,male,348,0
Toxicity,System Of A Down,en,rock,north-american,hard rock,Group,184,0
Don't Let Me Down - W&W Remix,The Chainsmokers,en,edm,north-american,big room,Group,373,0
"The Rain, The Park & Other Things - Single Version",The Cowsills,en,rock,north-american,classic rock,Group,350,0
To The Wire - SWACQ Remix,Julian Jordan,en,edm,european,big room,male,362,0
Wild Wild West (feat. Gunna),Offset,en,r&b,north-american,urban contemporary,male,963,0
Il tuo profumo,Fred De Palma,it,r&b,european,hip pop,male,345,1
Back Up,DeJ Loaf,en,rap,north-american,hip hop,female,832,0
2112 Overture / The Temples Of Syrinx - Chronicles Version,Rush,en,rock,north-american,hard rock,Group,155,0
Not Falling,Mudvayne,en,rock,north-american,hard rock,Group,328,0
Soul Survivor,Jeezy,en,rap,north-american,hip hop,male,711,0
Love to Hate You,Erasure,en,pop,european,electropop,Group,302,0
"I Am The Highway - Live At Queen Elizabeth Theatre, Toronto, ON/2011",Chris Cornell,en,rock,north-american,permanent wave,male,173,0
Get It on Tonite - Remastered,Montell Jordan,en,r&b,north-american,new jack swing,male,297,0
Waves - Guitar Acoustic,Dean Lewis,en,r&b,oceania,urban contemporary,male,309,0
Run Up,Major Lazer,en,edm,latino,pop edm,Group,586,0
All Time Low,Jon Bellion,en,pop,north-american,indie poptimism,male,376,0
Cat Scratch Fever,Ted Nugent,en,rock,north-american,classic rock,male,225,0
Rebel Yell - 1999 - Remaster,Billy Idol,en,rock,european,classic rock,male,305,0
"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)",Takagi & Ketra,it,r&b,european,hip pop,Group,255,1
Lightning (feat. John Rzeznik),Cash Cash,en,edm,north-american,pop edm,Group,263,0
I Ain't No Joke,Eric B. & Rakim,en,rap,north-american,southern hip hop,Group,666,0
Let Me Go,Avril Lavigne,en,rock,north-american,hard rock,female,267,0
For Real,Amel Larrieux,en,r&b,north-american,neo soul,female,238,0
Mitoman,Malik Montana,pl,rap,european,hip hop,male,564,1
La Bicicleta,Carlos Vives,es,latin,latino,latin hip hop,male,434,1
Roxanne - Remastered 2003,The Police,en,rock,european,classic rock,Group,291,0
We Ready,Archie Eversole,en,rap,north-american,southern hip hop,male,460,0
It Don't Come Easy,Ringo Starr,en,rock,european,album rock,male,225,0
I Want You Around,Snoh Aalegra,en,r&b,european,neo soul,female,324,0
All That - The Knocks Remix,Carly Rae Jepsen,en,pop,north-american,indie poptimism,female,487,0
Karmasutra,Karma,id,rap,european,hip hop,Group,481,1
Love$ick,Mura Masa,en,r&b,european,neo soul,male,328,0
Fun Up Here (feat. Logic),Mike Posner,en,rap,north-american,hip hop,male,379,0
Let Me Be the One,Intro,en,r&b,north-american,new jack swing,Group,650,0
Goodbyes (feat. Young Thug),Post Malone,en,latin,north-american,latin pop,male,1203,0
If,Janet Jackson,en,r&b,north-american,new jack swing,female,498,0
Colgando en tus manos (con Marta Sánchez),Carlos Baute,es,latin,latino,latin pop,male,319,1
You Give Good Love,Whitney Houston,en,rock,north-american,album rock,female,442,0
Endlich wieder asozial,Baba Saad,de,rap,european,gangster rap,male,447,1
Dream On,Depeche Mode,en,pop,european,electropop,Group,237,0
Ether,Nas,en,rap,north-american,gangster rap,male,948,0
Dalla tua parte,Alessandra Amoroso,it,r&b,european,hip pop,female,326,1
Rubbin Off The Paint,YBN Nahmir,en,rap,north-american,hip hop,male,508,0
Porto Cervo,Lazza,it,rap,european,trap,male,565,1
Why Can't This Be Love,Van Halen,en,rock,north-american,classic rock,Group,376,0
My Way - 1993 Remastered Version,Sid Vicious,en,rock,european,permanent wave,male,228,0
Wolves,Selena Gomez,en,pop,north-american,post-teen pop,female,1420,0
Childsplay,IAMDDB,en,r&b,european,neo soul,female,350,0
Bumpy Ride,Mohombi,en,pop,european,post-teen pop,male,674,0
Who Want It,David Banner,en,rap,north-american,southern hip hop,male,506,0
American Music,Violent Femmes,en,rock,north-american,permanent wave,Group,295,0
Love Is Always There,Majid Jordan,en,r&b,north-american,urban contemporary,Group,290,0
Why You Treat Me So Bad,Club Nouveau,en,r&b,north-american,new jack swing,Group,457,0
Headlights (feat. Ilsey),Robin Schulz,en,latin,european,tropical,male,190,0
Titanium (feat. Sia),David Guetta,en,pop,european,post-teen pop,male,436,0
EDM Sucks,Showtek,en,edm,european,electro house,Group,111,0
Ribs,Lorde,en,pop,oceania,indie poptimism,female,355,0
Jessie's Girl,Rick Springfield,en,rock,oceania,classic rock,male,313,0
goodnight n go,Ariana Grande,en,pop,north-american,post-teen pop,female,362,0
Perfect,Ed Sheeran,en,latin,european,latin hip hop,male,288,0
Sweet Home Alabama,Lynyrd Skynyrd,en,rock,north-american,hard rock,Group,230,0
Miss Murder,AFI,en,rock,north-american,hard rock,Group,239,0
Crew Love,Drake,en,r&b,north-american,urban contemporary,male,368,0
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,en,pop,european,post-teen pop,male,600,0
White Queen (As It Began) - Remastered 2011,Queen,en,rock,european,album rock,Group,159,0
Solita,Sech,es,latin,latino,reggaeton,male,523,1
When I See You Smile,Bad English,en,rock,north-american,album rock,Group,682,0
Nonstop,Drake,en,latin,north-american,latin pop,male,1378,0
listen before i go,Billie Eilish,en,r&b,north-american,urban contemporary,female,168,0
On & On,Erykah Badu,en,r&b,north-american,new jack swing,female,918,0
Work,Charlotte Day Wilson,en,r&b,north-american,neo soul,female,128,0
imagine,Ariana Grande,en,pop,north-american,electropop,female,287,0
Trouble Is Your Middle Name,Whitesnake,en,rock,european,classic rock,Group,221,0
Blah Blah Blah,Armin van Buuren,id,edm,european,electro house,male,548,0
Bake Sale (feat. Travis Scott),Wiz Khalifa,en,rap,north-american,southern hip hop,male,548,0
Dreamer's Ball - Remastered 2011,Queen,en,rock,european,album rock,Group,217,0
Piece Of My Love,Guy,en,r&b,north-american,new jack swing,Group,611,0
Take Me Home - BBC Children In Need Single 2015,Jess Glynne,en,r&b,european,urban contemporary,female,412,0
Sleigh Ride,Tamar Braxton,en,r&b,north-american,neo soul,female,216,0
Copperhead Road,Steve Earle,en,latin,north-american,latin hip hop,male,263,0
Calabria - Firebeatz Remix,Rune RK,en,rap,european,southern hip hop,male,1292,0
Rise Up,Andra Day,en,r&b,north-american,urban contemporary,female,267,0
Murder Rap,Above The Law,en,rap,north-american,gangster rap,Group,664,0
Crazy In Love (feat. Jay-Z),Beyoncé,en,pop,north-american,post-teen pop,female,810,0
Lifetime,Maxwell,en,r&b,north-american,urban contemporary,male,328,0
Lamento Tu Pérdida,Natti Natasha,es,latin,latino,latin hip hop,female,359,1
Shooting Arrows,Lane 8,en,edm,north-american,electro house,male,240,0
Bulls On Parade,Rage Against The Machine,en,rock,north-american,hard rock,Group,275,0
Baby I'm Yours - feat. Irfane,Breakbot,en,pop,european,electropop,male,330,0
Sticky Leaves,Linying,en,pop,asian,indie poptimism,female,185,0
Sprawl II (Mountains Beyond Mountains),Arcade Fire,en,pop,north-american,dance pop,Group,538,0
Who's Laughing Now,Jessie J,en,edm,european,big room,female,550,0
We Found Love,Rihanna,en,latin,north-american,latin hip hop,female,410,0
lovely (with Khalid),Billie Eilish,en,r&b,north-american,urban contemporary,female,182,0
Rub You The Right Way - J.G. Classic,Johnny Gill,en,r&b,north-american,new jack swing,male,493,0
Sikam Szampan,Mr. Polska,pl,rap,european,trap,male,333,1
SICKO MODE - Skrillex Remix,Travis Scott,en,rap,north-american,gangster rap,male,785,0
Instagram,Dimitri Vegas & Like Mike,en,pop,european,dance pop,Group,2325,0
Never Can Say Goodbye,The Communards,en,pop,european,electropop,Group,331,0
Keep You Close,FRENSHIP,en,pop,north-american,indie poptimism,Group,393,0
Shot & Wine,Sean Paul,en,latin,latino,latin hip hop,male,589,0
Keep Your Head Up,Ben Howard,en,r&b,european,urban contemporary,male,435,0
So What,Field Mob,en,rap,north-american,southern hip hop,Group,688,0
Happy Hours - Remix,John De Sohn,en,edm,european,pop edm,male,149,0
One Night - Vicetone Remix,Matthew Koma,en,edm,north-american,pop edm,male,341,0
Bleed It Out,Linkin Park,en,rock,north-american,album rock,Group,419,0
Regulars,Allie X,en,pop,north-american,post-teen pop,female,246,0
Once I Had A Love (AKA The Disco Song) - Remastered,Blondie,en,rock,north-american,permanent wave,Group,245,0
Fool (If You Think It's Over),Chris Rea,en,rock,european,classic rock,male,306,0
"Loca People (What the F**k!"") - Radio Edit",Sak Noel,en,latin,european,latin hip hop,male,276,0
Election Day,Arcadia,en,rock,european,album rock,Group,259,0
My Favourite Game,The Cardigans,en,rock,european,permanent wave,Group,212,0
Ay Amor - Reggaeton,Hector & Tito,es,latin,north-american,reggaeton,Group,479,1
A Design for Life - Remastered,Manic Street Preachers,en,rock,european,permanent wave,Group,151,0
Ruff Ryders' Anthem,DMX,en,rap,north-american,gangster rap,male,618,0
Enjoy the Silence,Depeche Mode,en,pop,european,electropop,Group,140,0
Anywhere u go,Tove Lo,en,pop,european,post-teen pop,female,480,0
La Bamba - 45 Version,Los Lobos,es,rock,north-american,album rock,Group,134,1
The Bleeding,Five Finger Death Punch,en,rock,north-american,hard rock,Group,220,0
Loungin (Who Do Ya Luv) - Remix,LL Cool J,en,r&b,north-american,new jack swing,male,597,0
Something About the Sunshine,Anna Margaret,en,pop,north-american,post-teen pop,female,288,0
Golden Green,Agnes Obel,en,pop,european,indie poptimism,female,221,0
One Call Away,Chingy,en,rap,north-american,hip hop,male,1826,0
La Joya,Javiera Mena,es,pop,latino,electropop,female,338,1
We Ain't Feeling Time,FKJ,en,r&b,european,neo soul,male,141,0
You Really Got Me - 2015 Remaster,Van Halen,en,pop,north-american,post-teen pop,Group,462,0
The Rain,DMX,en,rap,north-american,gangster rap,male,468,0
Give It Away,Red Hot Chili Peppers,en,rock,north-american,permanent wave,Group,1412,0
Changes,High Tropics,en,rock,oceania,permanent wave,Group,278,0
This Love,Kadhja Bonet,en,r&b,north-american,neo soul,female,182,0
All About Us,He Is We,en,pop,north-american,post-teen pop,Group,373,0
I Smile,Kirk Franklin,en,r&b,north-american,urban contemporary,male,614,0
Ahondar en Ti,Javiera Mena,es,pop,latino,electropop,female,139,1
If This Is Love,Frank Mccomb,en,r&b,north-american,neo soul,male,160,0
La Boca,Mau y Ricky,es,latin,latino,tropical,Group,1209,1
Fake Plastic Trees,Radiohead,en,pop,european,indie poptimism,Group,167,0
Dancing With Myself,Generation X,en,rock,european,hard rock,Group,347,0
Where Eagles Dare - 1998 Remastered Version,Iron Maiden,en,rock,european,hard rock,Group,159,0
Money Trees,Kendrick Lamar,en,r&b,north-american,urban contemporary,male,1089,0
Fade Into Darkness - Vocal Radio Mix,Avicii,en,edm,european,pop edm,male,163,0
No Te Vas - Remix,Nacho,es,latin,latino,reggaeton,male,436,1
Black Ice (Sky High) (feat. OutKast),Goodie Mob,en,rap,north-american,southern hip hop,Group,647,0
So Am I,Ava Max,en,pop,north-american,dance pop,female,1287,0
Tres Gotas De Agua Bendita,Gloria Estefan,es,latin,north-american,latin pop,female,436,1
Tipo uma Glock,Jovem Dex,en,rap,latino,trap,male,358,1
Turn To Stone,Electric Light Orchestra,en,rock,european,classic rock,Group,300,0
Don't Look Back in Anger - Remastered,Oasis,en,rock,european,permanent wave,Group,304,0
The Only Way Is Up - Radio Edit,Martin Garrix,en,edm,european,big room,male,279,0
Coming Down,Five Finger Death Punch,en,rock,north-american,hard rock,Group,241,0
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,en,pop,european,electropop,Group,104,0
Revival,Gregory Porter,en,pop,north-american,dance pop,male,196,0
Bassotto,Dark Polo Gang,it,rap,european,trap,Group,331,1
That's What You Get,Paramore,en,rock,north-american,album rock,Group,290,0
SLOW DANCING IN THE DARK,Joji,en,r&b,north-american,urban contemporary,male,260,0
Trust Nobody,Hippie Sabotage,en,rap,north-american,gangster rap,Group,473,0
Body Sun - Claptone Remix (Edit),RY X,cy,edm,oceania,progressive electro house,male,162,0
The Deep End,Crossfade,en,rock,north-american,hard rock,Group,209,0
Destination,DubVision,en,edm,european,big room,Group,298,0
Crew Love,Drake,en,r&b,north-american,urban contemporary,male,368,0
Brand New Funk,DJ Jazzy Jeff & The Fresh Prince,en,rap,north-american,southern hip hop,Group,469,0
Everything (feat. John Legend),Ella Mai,en,r&b,european,urban contemporary,female,314,0
Don't Try Suicide - Remastered 2011,Queen,en,rock,european,album rock,Group,286,0
Summer Air,ItaloBrothers,en,pop,european,electropop,Group,306,0
My Prerogative,Bobby Brown,en,rap,north-american,southern hip hop,male,1563,0
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,en,rap,north-american,southern hip hop,male,882,0
Grim,The Blue Stones,en,rock,north-american,permanent wave,Group,413,0
Don't Believe The Hype,Public Enemy,en,rap,north-american,southern hip hop,Group,887,0
Ghost Story,Coldplay,en,rock,european,album rock,Group,213,0
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,en,latin,north-american,tropical,male,866,0
It's All on U - T-Mass & LZRD Remix,ILLENIUM,en,rap,north-american,trap,male,444,0
Do You Want To,Franz Ferdinand,en,rock,european,permanent wave,Group,268,0
You're Beautiful,James Blunt,en,rock,european,album rock,male,199,0
Surfer Joe - Hit Version,The Surfaris,en,rock,north-american,hard rock,Group,208,0
Mask Off,Future,en,pop,north-american,electropop,male,1542,0
Clarity,Zedd,en,latin,european,latin hip hop,male,498,0
Can I Be Him,James Arthur,en,r&b,european,urban contemporary,male,342,0
Ruby,Kaiser Chiefs,en,rock,european,permanent wave,Group,203,0
Gothersgade,Artigeardit,da,rap,european,hip hop,male,398,1
Si No Te Quiere (feat. D.OZi),Ozuna,es,latin,north-american,latin hip hop,male,415,1
Love Is A Battlefield,Pat Benatar,en,rock,north-american,permanent wave,female,275,0
The Future Never Dies,Scorpions,en,rock,european,hard rock,Group,176,0
Freefall,Camel,en,rock,european,album rock,Group,128,0
Better Man,Courteeners,en,rock,european,permanent wave,Group,230,0
Mi Gente - Hardwell & Quintino Remix,J Balvin,es,edm,latino,big room,male,280,1
Bitch Please II,Eminem,en,rap,north-american,gangster rap,male,891,0
Calm Like A Bomb,Rage Against The Machine,en,rap,north-american,southern hip hop,Group,500,0
"Loca (feat. Duki, Cazzu)",Khea,es,rap,latino,trap,male,732,1
Virtual Diva,Don Omar,es,latin,north-american,reggaeton,male,750,1
Hit Me With Your Best Shot,Pat Benatar,en,rock,north-american,album rock,female,412,0
Lights On,Izzy Bizu,en,r&b,european,urban contemporary,female,314,0
Brand New Numb,Motionless In White,en,rock,north-american,hard rock,Group,412,0
The Rhythm,Kwame,en,rap,north-american,southern hip hop,male,648,0
Crying In The Sun,Faustix,en,pop,european,dance pop,male,600,0
The Return Of The Giant Hogweed - Digital Remastered 2008,Genesis,en,rock,european,album rock,Group,206,0
Amor Loquito,Josue Diaz,es,latin,north-american,latin pop,male,395,1
Heaven,Avicii,en,pop,european,dance pop,male,618,0
Cadillacs & Chevys,Jarren Benton,en,r&b,north-american,urban contemporary,male,553,0
Gimme Three Steps,Lynyrd Skynyrd,en,rock,north-american,classic rock,Group,280,0
Turn Back The Clock,Johnny Hates Jazz,en,rock,european,permanent wave,Group,252,0
Those Kinda Nights (feat. Ed Sheeran),Eminem,en,r&b,north-american,hip pop,male,640,0
On And On,Stephen Bishop,en,rock,north-american,classic rock,male,229,0
GUMMO,6ix9ine,en,rap,north-american,gangster rap,male,413,0
Seaside Rendezvous - Remastered 2011,Queen,en,rock,european,album rock,Group,200,0
That's My Attitude,Troop,en,r&b,north-american,new jack swing,Group,282,0
BIG Dreams,blackwave.,en,r&b,european,neo soul,Group,426,0
No Teeth,gizmo,en,rap,european,gangster rap,Group,409,0
Pensare Male (con Elodie),The Kolors,it,r&b,european,hip pop,Group,390,1
Flavour,Room Eleven,en,r&b,european,neo soul,Group,254,0
Sloppy Seconds,Watsky,en,pop,north-american,indie poptimism,male,674,0
We Are Never Ever Getting Back Together,Taylor Swift,en,pop,north-american,post-teen pop,female,403,0
Make It Out Alive (feat. SiR),Nao,en,r&b,asian,urban contemporary,female,471,0
Purpose (feat. G Herbo),Calboy,en,r&b,north-american,urban contemporary,male,655,0
Heroes (we could be),Alesso,en,edm,european,big room,male,226,0
Tsunami,DVBBS,sw,edm,north-american,big room,Group,163,1
Lush Life,Zara Larsson,en,pop,european,indie poptimism,female,477,0
Summer Games,Drake,en,r&b,north-american,urban contemporary,male,330,0
Slam,Onyx,en,rap,north-american,southern hip hop,Group,623,0
Nobody Compares To You,Gryffin,en,pop,north-american,electropop,male,342,0
Ho Hey,The Lumineers,en,latin,north-american,latin hip hop,Group,173,0
Love,Keyshia Cole,en,r&b,north-american,urban contemporary,female,301,0
Hard Times,Paramore,en,r&b,north-american,hip pop,Group,353,0
Hail Mary,2Pac,en,rap,north-american,gangster rap,male,965,0
Hunger Strike,Temple Of The Dog,en,rock,north-american,permanent wave,Group,171,0
Lo Que Te Di,Marc Anthony,es,latin,north-american,tropical,male,280,1
Girlfriend - Single Version,Bobby Brown,en,r&b,north-american,new jack swing,male,429,0
Sound of Madness,Shinedown,en,rock,north-american,hard rock,Group,352,0
Narcos,Migos,en,r&b,north-american,urban contemporary,Group,796,0
Farak,DIVINE,id,rap,north-american,hip hop,male,504,1
Who Can I Run To,Xscape,en,r&b,north-american,urban contemporary,Group,384,0
Te Quiero un Poco,Carlos Sadness,es,latin,european,tropical,male,205,1
Trojans,Atlas Genius,en,rock,oceania,permanent wave,Group,285,0
Hoja En Blanco,Monchy & Alexandra,es,latin,latino,tropical,Group,377,1
2 Phones,Kevin Gates,en,rap,north-american,hip hop,male,1490,0
Zun Da Da,Zion,es,latin,north-american,reggaeton,male,472,1
Gettin' Jiggy Wit It,Will Smith,en,pop,north-american,dance pop,male,1380,0
Visions,So Below,en,pop,oceania,indie poptimism,female,251,0
goodbye,updog,en,pop,european,electropop,male,204,0
Poker Face,Lady Gaga,en,pop,north-american,dance pop,female,1096,0
Midsummer Madness,88rising,en,r&b,north-american,urban contemporary,Other,551,0
I Bet My Life - Alex Adair Remix,Imagine Dragons,en,pop,north-american,indie poptimism,Group,376,0
Platinum Plus,Big L,en,rap,north-american,gangster rap,male,563,0
Marathon,Raheem DeVaughn,en,r&b,north-american,neo soul,male,297,0
Purple Haze,Jimi Hendrix,en,rock,north-american,album rock,male,381,0
Maldito Alcohol,Pitbull,es,latin,north-american,reggaeton,male,325,1
Youth Gone Wild,Skid Row,en,rock,north-american,hard rock,Group,326,0
Gin And Juice (feat. Dat Nigga Daz),Snoop Dogg,en,rap,north-american,southern hip hop,male,1914,0
Hasta Morir,Caifanes,es,rock,north-american,album rock,Group,117,1
All the Young Dudes,Mott The Hoople,en,rock,european,classic rock,Group,403,0
Secret,Orchestral Manoeuvres In The Dark,en,rock,european,permanent wave,Group,232,0
Suena El Dembow,Joey Montana,es,latin,latino,latin pop,male,938,1
Ordinary World,Duran Duran,en,rock,european,permanent wave,Group,267,0
Roses,Pacific Air,en,pop,north-american,indie poptimism,Group,261,0
Stop,Justice,en,pop,european,indie poptimism,Group,261,0
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,en,rock,european,permanent wave,Group,333,0
Bombs Away,Charlotte Gainsbourg,en,pop,european,electropop,female,302,0
Sail,DevilDriver,en,rock,north-american,hard rock,Group,160,0
Given Up,Linkin Park,en,rock,north-american,hard rock,Group,163,0
george,Arlo Parks,en,r&b,european,hip pop,female,189,0
Punishment,Man Overboard,en,pop,north-american,post-teen pop,Group,235,0
DULCE,GAWVI,es,latin,north-american,latin hip hop,male,213,1
A Different Way (with Lauv),DJ Snake,en,pop,european,electropop,male,460,0
Born To Be Yours,Kygo,en,pop,european,dance pop,male,281,0
Hotline Bling,Drake,en,edm,north-american,pop edm,male,445,0
Redbone,Childish Gambino,en,r&b,north-american,hip pop,male,284,0
Squeeze,Ghostemane,en,rap,north-american,gangster rap,male,305,0
Rain,Status Quo,en,rock,european,hard rock,Group,178,0
Paint It Black,The Rolling Stones,en,rock,european,classic rock,Group,240,0
Go With The Flow,Queens of the Stone Age,en,rock,north-american,permanent wave,Group,165,0
A Sky Full of Stars - Hardwell Remix,Coldplay,en,edm,european,progressive electro house,Group,178,0
Runaway,Bon Jovi,en,rock,north-american,classic rock,Group,590,0
In My Blood,The Veronicas,en,pop,oceania,post-teen pop,Group,256,0
Lovesong,The Cure,en,rock,european,permanent wave,Group,145,0
Not Your Birthday,Allstar Weekend,en,pop,north-american,post-teen pop,Group,618,0
Greed Hate Envy,Nelly,en,rap,north-american,southern hip hop,male,758,0
Lucid Dreams,Juice WRLD,en,rap,north-american,trap,male,1194,0
You'll Never Find Me,Korn,en,rock,north-american,hard rock,Group,220,0
Who Is Ready To Jump - Original Club Mix,Chuckie,en,edm,european,progressive electro house,male,139,0
Clandestino (feat. Calypso Rose),Manu Chao,es,latin,european,tropical,male,154,1
The Violence - Sikdope Remix,Asking Alexandria,en,edm,european,electro house,Group,293,0
Swag I Skogen,De Vet Du,sv,edm,european,big room,Group,389,1
End Of The Road,Boyz II Men,en,r&b,north-american,new jack swing,Group,678,0
Runnin',The Pharcyde,en,rap,north-american,southern hip hop,Group,603,0
HIT,SEVENTEEN,en,pop,asian,dance pop,Group,380,1
Beds Are Burning,Midnight Oil,en,rock,oceania,permanent wave,Group,257,0
Complicated,Nivea,en,r&b,north-american,urban contemporary,female,462,0
Smoke on the Water,Deep Purple,en,rock,european,hard rock,Group,195,0
I Can't Explain - Stereo Version,The Who,en,rock,european,permanent wave,Group,151,0
clickbait,Logic,en,rap,north-american,hip hop,male,391,0
Charlene,Anthony Hamilton,en,r&b,north-american,new jack swing,male,630,0
Rock You Like A Hurricane,Scorpions,en,pop,european,post-teen pop,Group,885,0
Butterflies and Hurricanes,Muse,en,rock,european,permanent wave,Group,150,0
Hookah,Tyga,en,rap,north-american,gangster rap,male,593,0
emotion,lovelytheband,en,pop,north-american,indie poptimism,Group,203,0
Cool Again,Shoffy,en,pop,north-american,indie poptimism,male,278,0
Burn,Ellie Goulding,en,pop,european,post-teen pop,female,1016,0
Perfect,Topic,en,edm,european,pop edm,male,341,0
Stress ohne Grund (feat. Bushido),Shindy,de,rap,european,gangster rap,male,387,1
PAY ME BACK!,ILIRA,en,pop,european,dance pop,female,324,0
Love Game,Eminem,en,pop,north-american,post-teen pop,male,1311,0
Invisible Touch - 2007 Remaster,Genesis,en,rock,european,album rock,Group,329,0
Sacrifices,Drake,en,rap,north-american,southern hip hop,male,915,0
"Motownphilly - 12"" Dub",Boyz II Men,en,r&b,north-american,new jack swing,Group,461,0
Es Por Ti - MTV Unplugged,Juanes,es,latin,latino,latin pop,male,295,1
ATTENTION ATTENTION,Shinedown,en,rock,north-american,hard rock,Group,374,0
Walk Away,LANY,en,pop,north-american,indie poptimism,Group,211,0
La Bebe,"Secreto ""El Famoso Biberon""",es,latin,latino,latin hip hop,male,572,1
Yes I'm Changing,Tame Impala,en,rock,oceania,permanent wave,male,243,0
Alive,Dabin,en,pop,north-american,indie poptimism,male,397,0
Yeah!,Usher,en,latin,north-american,latin hip hop,male,720,0
This Way (Khalid x H.E.R.),Khalid,en,r&b,north-american,neo soul,male,275,0
Just Can't Get Enough - 2006 Remaster,Depeche Mode,en,rock,european,permanent wave,Group,365,0
Come and Get Your Love - Radio Edit,Real McCoy,en,pop,european,dance pop,Group,404,0
Weak - Radio Edit,SWV,en,r&b,north-american,new jack swing,Group,541,0
Tell Me,Krept & Konan,en,r&b,european,urban contemporary,Group,609,0
Changes,Imagination,en,edm,european,progressive electro house,Group,177,0
Friedhof der Kuscheltiere,Manuellsen,de,rap,european,gangster rap,male,353,1
Ophelia - Remastered 2000,The Band,en,rock,north-american,classic rock,Group,130,0
Touch,Great Good Fine Ok,en,pop,north-american,indie poptimism,Group,289,0
Feel Again - Thomas Gold Club Mix,OneRepublic,en,edm,north-american,progressive electro house,Group,339,0
Coming 2 America,Ludacris,en,rap,north-american,southern hip hop,male,874,0
Blurred Lines,Robin Thicke,en,pop,north-american,post-teen pop,male,609,0
