song_title,artist,musical_genre,lyric_length,needs_translation,continent,gender,source
Wildflowers,Tom Petty,rock,132,0,North America,Male,spotify
Loyal,SAYGRACE,r&b,233,0,Oceania,Female,spotify
White Bird,Sam Bush,r&b,174,0,North America,Male,spotify
El Doctorado,Tony Dize,latin,424,1,North America,Male,spotify
Whine Up,Nicky Jam,latin,479,1,North America,Male,spotify
California Love (remix),2Pac,rap,586,0,North America,Male,spotify
Mary Mack,Babyface,r&b,246,0,North America,Male,spotify
What You Don't Do - Tom Misch Remix,Lianne La Havas,r&b,395,0,Europe,Female,spotify
Live It Up,John Legend,r&b,502,0,North America,Male,spotify
Dio benedica il reggaeton (feat. Baby K),Fred De Palma,latin,357,1,Europe,Male,spotify
Flossin' Season,Juvenile,rap,943,0,North America,Male,spotify
Que Me Tome la Noche,Javiera Mena,pop,290,1,Latin America,Female,spotify
Oldskool,Julian Jordan,edm,129,0,Europe,Male,spotify
Spend Some Time,Eminem,rap,864,0,North America,Male,spotify
La Rompe Corazones,Daddy Yankee,latin,413,1,North America,Male,spotify
When We Were Young - Juventa Remix,Dillon Francis,edm,208,0,North America,Male,spotify
Summertime Anthem (Featuring Chubb Rock),Eric Roberson,r&b,278,0,North America,Male,spotify
Destination Sunrise,Bit Funk,latin,134,0,North America,Male,spotify
Polynesia,Gazzelle,r&b,351,1,Europe,Male,spotify
Jealous Guy,Donny Hathaway,r&b,130,0,North America,Male,spotify
Noche,Javiera Mena,pop,189,1,Latin America,Female,spotify
Go Hard or Go Home,Wiz Khalifa,rap,604,0,North America,Male,spotify
Feels (feat. Young Thug & J Hus),Ed Sheeran,r&b,390,0,Europe,Male,spotify
Everyday Hell,Fredro Starr,rap,457,0,North America,Male,spotify
Never Go Back,Dennis Lloyd,latin,1422,0,Asia,Male,spotify
La Tua Futura Ex Moglie,Willie Peyote,r&b,525,1,Europe,Male,spotify
Just My Luck,Marc E. Bassy,r&b,406,0,North America,Male,spotify
Barbie Tingz,Nicki Minaj,r&b,697,0,North America,Female,spotify
Ven Conmigo,Daddy Yankee,latin,471,1,North America,Male,spotify
U Remind Me,Usher,r&b,490,0,North America,Male,spotify
no tears left to cry,Ariana Grande,pop,900,0,North America,Female,spotify
Pyrex,Sean Price,rap,287,0,North America,Male,spotify
Casanova,Palm Trees,latin,226,0,Europe,Male,spotify
Los Ageless,St. Vincent,pop,434,0,North America,Female,spotify
Younger,Ruel,r&b,304,0,Oceania,Male,spotify
Let Me Down Slowly,Alec Benjamin,r&b,400,0,North America,Male,spotify
Under,Sampha,r&b,309,0,Europe,Male,spotify
I Want Love,Chris Stapleton,r&b,273,0,North America,Male,spotify
Nice To Meet Ya - Diplo Remix,Niall Horan,edm,576,0,Europe,Male,spotify
Chica Paranormal,Paulo Londra,rap,457,1,Latin America,Male,spotify
J'veux un mec - Marlon B,Adrienne Pauly,rock,427,1,Europe,Female,spotify
Like Home - Radio Mix,Nicky Romero,edm,118,0,Europe,Male,spotify
Blanco,J Balvin,pop,1122,1,Latin America,Male,spotify
"Domingo (Reykon, Cosculluela, Greeicy & Rauw Alejandro) - Remix",Reykon,latin,459,1,Latin America,Male,spotify
Lover Boy,Phum Viphurit,pop,145,0,Asia,Male,spotify
VvsNike (Prod. Olek),Malik Montana,rap,367,1,Europe,Male,spotify
Big White Room - Live,Jessie J,edm,302,0,Europe,Female,spotify
Fall in Love,GoldLink,r&b,386,0,North America,Male,spotify
Tengo Un Problema,MC Davo,rap,442,1,North America,Male,spotify
Bad Man,Missy Elliott,rap,447,0,North America,Female,spotify
pager,schafter,rap,278,1,Europe,Male,spotify
IV. Sweatpants,Childish Gambino,rap,536,0,North America,Male,spotify
Legendary (DJ Kantik Remix),Faydee,latin,366,0,Oceania,Male,spotify
Outta Your Mind,Lil Jon,latin,712,0,North America,Male,spotify
"thank u, next",Ariana Grande,pop,440,0,North America,Female,spotify
Jealous,Nick Jonas,edm,345,0,North America,Male,spotify
Head Over Heels,JD McPherson,rock,151,0,North America,Male,spotify
Get By,Talib Kweli,r&b,714,0,North America,Male,spotify
How Sweet It Is (To Be Loved by You),James Taylor,rock,439,0,North America,Male,spotify
Trampled Rose,Tom Waits,rock,132,0,North America,Male,spotify
Broke,Andreya Triana,r&b,293,0,Europe,Female,spotify
I'm Gonna Be Alright,Jennifer Lopez,r&b,683,0,North America,Female,spotify
You Are Losing Me,Chelsea Cutler,pop,262,0,North America,Female,spotify
Op Opa,Gaullin,edm,160,0,Europe,Male,spotify
in my miNd,Maty Noyes,pop,497,0,North America,Female,spotify
Chandelier,Sia,latin,366,0,Oceania,Female,spotify
Let's Get Lifted,John Legend,r&b,333,0,North America,Male,spotify
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,edm,514,0,North America,Male,spotify
Blink,Meghan Trainor,r&b,395,0,North America,Female,spotify
A Storm On A Summers Day,Full Crate,r&b,302,0,Europe,Male,spotify
Crop Circles,Jon Bellion,pop,296,0,North America,Male,spotify
COMMANDO (feat. G-Eazy),Logic,rap,572,0,North America,Male,spotify
Grace Kelly,MIKA,pop,438,0,Europe,Male,spotify
You're My Baby,Robin Thicke,r&b,150,0,North America,Male,spotify
What Have You Done For Me Lately,Janet Jackson,r&b,360,0,North America,Female,spotify
NEGOCIANDO POR TIEMPO (prod. SHIGANT-G),Ysy A,rap,480,1,Latin America,Male,spotify
Temporal,Ozuna,latin,475,1,North America,Male,spotify
I Will Trust,Fred Hammond,r&b,539,0,North America,Male,spotify
2AM - Matoma Remix,Astrid S,pop,396,0,Europe,Female,spotify
We Found Love (feat. Ashibah) - Nora En Pure & Passenger 10 Remix Edit,Nora En Pure,edm,167,0,Europe,Female,spotify
Chante's Got A Man,Chanté Moore,r&b,403,0,North America,Female,spotify
Maggie May,Rod Stewart,rock,305,0,Europe,Male,spotify
Ah Leke,Pitbull,latin,552,0,North America,Male,spotify
Venom - Music From The Motion Picture,Eminem,rock,903,0,North America,Male,spotify
Criminal,Natti Natasha,latin,370,1,Latin America,Female,spotify
Luz y Sal (feat. Edward Sanchez),Funky,latin,377,1,North America,Male,spotify
The Dreamer (feat. Talib Kweli & Timan Family Choir),Anderson .Paak,r&b,766,0,North America,Male,spotify
In The Name Of Love - The Him Remix,Martin Garrix,edm,325,0,Europe,Male,spotify
None Of My Business,Cher Lloyd,pop,459,0,Europe,Female,spotify
Jolene,Dolly Parton,r&b,205,0,North America,Female,spotify
El Anillo,Jennifer Lopez,latin,369,1,North America,Female,spotify
Won't Be Late (feat. Drake),Swae Lee,rap,660,0,North America,Male,spotify
Go DJ,Lil Wayne,rap,877,0,North America,Male,spotify
Ghost - The Him Remix,Au/Ra,edm,390,0,Latin America,Female,spotify
Cuts Both Ways,Gloria Estefan,latin,191,0,North America,Female,spotify
In Between (feat. BANKS) - Bonus,6LACK,r&b,256,0,North America,Male,spotify
Famous,TAEMIN,pop,146,1,Asia,Male,spotify
Nollie Tre Flip,Hopsin,r&b,633,0,North America,Male,spotify
Quiero Saber,Ivy Queen,latin,489,1,North America,Female,spotify
Primera Estrella,Javiera Mena,pop,274,1,Latin America,Female,spotify
Euronymous,Ghostemane,rap,428,0,North America,Male,spotify
Loud Places,Jamie xx,pop,410,0,Europe,Male,spotify
Lines,Big Boi,rap,385,0,North America,Male,spotify
Splash Waterfalls,Ludacris,rap,471,0,North America,Male,spotify
a lot,21 Savage,pop,3180,0,North America,Male,spotify
We Don't Talk Anymore - Junge Junge Remix,Charlie Puth,edm,475,0,North America,Male,spotify
Don't Be Afraid,Aaron Hall,r&b,350,0,North America,Male,spotify
I Guess You Missed My Call,Tvbuu,rap,301,0,North America,Male,spotify
Another You (feat. Mr. Probz) - Pretty Pink Radio Edit,Armin van Buuren,pop,184,0,Europe,Male,spotify
When I Need You - Remastered,Leo Sayer,rock,246,0,Europe,Male,spotify
The Sideshow (feat. Ernie Fresh),DJ Shadow,r&b,406,0,North America,Male,spotify
Street Struck,Big L,rap,747,0,North America,Male,spotify
Come Share My Love,Miki Howard,r&b,738,0,North America,Female,spotify
Got Ur Self A...,Nas,rap,753,0,North America,Male,spotify
Callaita,Bad Bunny,pop,2850,1,North America,Male,spotify
Unlove You,Armin van Buuren,pop,310,0,Europe,Male,spotify
Grenade,Bruno Mars,latin,448,0,North America,Male,spotify
Why You Always Hatin?,YG,rap,627,0,North America,Male,spotify
Control,Janet Jackson,r&b,390,0,North America,Female,spotify
Dancing On My Own,Calum Scott,r&b,288,0,Europe,Male,spotify
Cool,Alesso,edm,232,0,Europe,Male,spotify
Overnight Celebrity,Twista,rap,883,0,North America,Male,spotify
Let Me Down,Jorja Smith,r&b,361,0,Europe,Female,spotify
My My My!,Troye Sivan,r&b,257,0,Oceania,Male,spotify
Domenica,Coez,r&b,264,1,Europe,Male,spotify
Para Tu Amor - MTV Unplugged,Juanes,latin,264,1,Latin America,Male,spotify
Won't Do,J Dilla,r&b,467,0,North America,Male,spotify
Tiny Dancer,Elton John,rock,274,0,Europe,Male,spotify
Don't Touch My Hair,Solange,pop,1496,0,North America,Female,spotify
Come Clean,Hilary Duff,pop,246,0,North America,Female,spotify
No Fear No More,Madeon,pop,326,0,Europe,Male,spotify
Some of Us May Never See the World,Ghostemane,rap,284,0,North America,Male,spotify
Strangers,Seven Lions,edm,170,0,North America,Male,spotify
PIA,Frenna,latin,458,1,Europe,Male,spotify
Fountain of Sorrow - 2014 Remaster,Jackson Browne,rock,390,0,North America,Male,spotify
Sum 2 Prove,Lil Baby,rap,1844,0,North America,Male,spotify
Dutty Love,Don Omar,latin,1204,1,North America,Male,spotify
Nowadays (feat. Landon Cube),Lil Skies,rap,510,0,North America,Male,spotify
Calypso,Luis Fonsi,latin,1082,1,North America,Male,spotify
Strawberry Letter 23,Tevin Campbell,r&b,258,0,North America,Male,spotify
Friend Zone,Thundercat,r&b,194,0,North America,Male,spotify
Buena,Manuel Medrano,latin,337,1,Latin America,Male,spotify
You And I - Deadmau5 Remix,Medina,edm,407,0,Europe,Female,spotify
Sad Song (feat. TINI) (Alesso Remix),Alesso,edm,337,0,Europe,Male,spotify
MALDIVERNE (feat. KESI),Carmon,rap,439,1,Europe,Male,spotify
Daydreams,ARTY,edm,364,0,Europe,Male,spotify
the light is coming (feat. Nicki Minaj),Ariana Grande,pop,788,0,North America,Female,spotify
Restart,Shellerini,rap,617,1,Europe,Male,spotify
He Got You,Ronnie Milsap,rock,166,0,North America,Male,spotify
Permitame,Tony Dize,latin,305,1,North America,Male,spotify
Wave (feat. Mike Sabath) - ARKADI Remix,Meghan Trainor,edm,287,0,North America,Female,spotify
Miss You,Leela James,r&b,326,0,North America,Female,spotify
Follow,Tom Misch,r&b,125,0,Europe,Male,spotify
MI AMI O NO (feat. Capo Plaza),Giaime,rap,397,1,Europe,Male,spotify
You should be sad,Halsey,pop,2724,0,North America,Female,spotify
Reasons Not To Die - Demo,Ryn Weaver,pop,301,0,North America,Female,spotify
Closer,Goapele,r&b,193,0,North America,Female,spotify
Without You (feat. Rapsody),Anderson .Paak,r&b,1320,0,North America,Male,spotify
La Negra Tiene Tumbao,Celia Cruz,r&b,449,1,Latin America,Female,spotify
GLOW,CORSAK,edm,266,0,Asia,Male,spotify
Hate How Much I Love You,Conor Maynard,pop,718,0,Europe,Male,spotify
War,Jay Sean,latin,516,0,Europe,Male,spotify
Let It Be Me - Sondr Remix,Steve Aoki,pop,471,0,North America,Male,spotify
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,pop,633,0,North America,Male,spotify
Around The Way Girl,LL Cool J,r&b,623,0,North America,Male,spotify
"N****, What's Up (feat. 50 Cent)",Lil Scrappy,rap,225,0,North America,Male,spotify
Bluebird - Remastered 2010,Paul McCartney,rock,228,0,Europe,Male,spotify
Mercury: Retrograde,Ghostemane,rap,332,0,North America,Male,spotify
ghostin,Ariana Grande,pop,339,0,North America,Female,spotify
Privacy,Chris Brown,rap,582,0,North America,Male,spotify
Used To Love (with Dean Lewis) - SWACQ Remix,Martin Garrix,edm,716,0,Europe,Male,spotify
Raging (feat. Kodaline),Kygo,pop,299,0,Europe,Male,spotify
We Don't Need No Sleep,Croatia Squad,edm,230,0,Europe,Male,spotify
Lite Weight (feat. The Free Nationals United Fellowship Choir),Anderson .Paak,r&b,580,0,North America,Male,spotify
A Couple Of Forevers,Chrisette Michele,r&b,302,0,North America,Female,spotify
You Ain't Gotta Lie To Kick It,Silkk The Shocker,rap,1384,0,North America,Male,spotify
Round Whippin,A.CHAL,r&b,285,0,North America,Male,spotify
Hurtin' Me,Stefflon Don,pop,435,0,Europe,Female,spotify
Crown,Rapsody,rap,593,0,North America,Female,spotify
Blessings (feat. Jamila Woods),Chance the Rapper,r&b,464,0,North America,Male,spotify
Como Nadie,Kodigo,rap,301,1,Latin America,Male,spotify
Crossfire / So Into You,Nai Palm,r&b,238,0,Oceania,Female,spotify
Lonely Together - (feat. Rita Ora) Dj Licious Remix,Avicii,edm,329,0,Europe,Male,spotify
Fortress - Just A Gent Remix,ILLENIUM,rap,190,0,North America,Male,spotify
Dreamin' (feat. Fiora),Seven Lions,edm,280,0,North America,Male,spotify
God's Plan,Drake,rap,356,0,North America,Male,spotify
Shallow,Lady Gaga,r&b,390,0,North America,Female,spotify
Awaiting On You All,George Harrison,rock,251,0,Europe,Male,spotify
Have Yourself a Merry Little Christmas,Luther Vandross,r&b,129,0,North America,Male,spotify
FML,Arizona Zervas,pop,563,0,North America,Male,spotify
I Hear You Paint Houses,Robbie Robertson,rock,321,0,North America,Male,spotify
Hella Neck,Carnage,rap,942,0,North America,Male,spotify
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,pop,1776,0,North America,Male,spotify
Flutuo,Leozin,rap,445,1,Latin America,Male,spotify
Me Mata,Bad Bunny,latin,1085,1,North America,Male,spotify
Hate It Or Love It,The Game,rap,688,0,North America,Male,spotify
Street Life,Randy Crawford,r&b,207,0,North America,Female,spotify
Colors - Audien Remix,Halsey,edm,368,0,North America,Female,spotify
Can't Be Without,Kaskade,edm,138,0,North America,Male,spotify
Jimmy Crack Corn,Eminem,rap,867,0,North America,Male,spotify
FULL ICE (prod. ORODEMBOW),Ysy A,rap,358,1,Latin America,Male,spotify
GfC,"Albert Hammond, Jr.",rock,120,0,North America,Male,spotify
Wildfire,SBTRKT,pop,436,0,Europe,Male,spotify
Think Of You,Ledisi,r&b,323,0,North America,Female,spotify
Only Want You - Sam Feldt Remix,Rita Ora,pop,796,0,Europe,Female,spotify
Finally,CeCe Peniston,pop,433,0,North America,Female,spotify
Königsaura,Kollegah,rap,1510,1,Europe,Male,spotify
Impatient Freestyle,Drakeo the Ruler,rap,844,0,North America,Male,spotify
Pull Away,Leon Bridges,r&b,136,0,North America,Male,spotify
Dear No One,Tori Kelly,pop,320,0,North America,Female,spotify
Smile,Scarface,rap,1398,0,North America,Male,spotify
Good For You,Jack Vallier,r&b,355,0,Europe,Male,spotify
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),Snoop Dogg,rap,1294,0,North America,Male,spotify
The Right Kind of Love,Jeremy Jordan,r&b,382,0,North America,Male,spotify
SOS (feat. Aloe Blacc),Avicii,pop,774,0,Europe,Male,spotify
End Game,Taylor Swift,r&b,759,0,North America,Female,spotify
...Til the Cops Come Knockin',Maxwell,r&b,227,0,North America,Male,spotify
Kissing Other People,Lennon Stella,pop,291,0,North America,Female,spotify
Grandpa's Groove - Extended Version,Parov Stelar,edm,268,0,Europe,Male,spotify
U Got the Look,Prince,r&b,363,0,North America,Male,spotify
Fuego,Ozuna,latin,416,1,North America,Male,spotify
Met Gala (feat. Offset),Gucci Mane,rap,847,0,North America,Male,spotify
Right Down the Line,Gerry Rafferty,rock,256,0,Europe,Male,spotify
Freak - Joe Stone 2K18 Edit,R3HAB,edm,365,0,Europe,Male,spotify
Condiciones,Maikel Delacalle,rap,271,1,Europe,Male,spotify
Mood Swings,A Boogie Wit da Hoodie,r&b,398,0,North America,Male,spotify
Sake,WE$T DUBAI,rap,492,1,Europe,Male,spotify
"Hold Me, Thrill Me, Kiss Me",Gloria Estefan,latin,191,0,North America,Female,spotify
"Hopeless (From the New Line Cinema Film, ""Love Jones"")",Dionne Farris,r&b,628,0,North America,Female,spotify
Younger - Club Mix,Jonas Blue,edm,317,0,Europe,Male,spotify
Vengeance,Killstation,rap,240,0,North America,Male,spotify
SICKO MODE,Travis Scott,pop,4710,0,North America,Male,spotify
right here,keshi,r&b,336,0,North America,Male,spotify
BEST ON EARTH (feat. BIA),Russ,rap,1476,0,North America,Male,spotify
Imagine - Remastered,John Lennon,rock,131,0,Europe,Male,spotify
No Tellin',Drake,r&b,736,0,North America,Male,spotify
Capricorn,Elderbrook,pop,337,0,Europe,Male,spotify
Rica y Apretadita (feat. Anayka),El General,latin,609,1,Latin America,Male,spotify
Rocky Mountain Way,Joe Walsh,rock,186,0,North America,Male,spotify
It Won't Stop (feat. Chris Brown),Sevyn Streeter,r&b,418,0,North America,Female,spotify
Sorry,6LACK,r&b,321,0,North America,Male,spotify
All Eyez On Me,2Pac,rap,2096,0,North America,Male,spotify
Jodeci Freestyle (feat. J. Cole),Drake,r&b,777,0,North America,Male,spotify
Santa Claus Go Straight To The Ghetto,James Brown,r&b,232,0,North America,Male,spotify
El Préstamo,Maluma,latin,978,1,Latin America,Male,spotify
Cuando Te Besé,Becky G,latin,1046,1,North America,Female,spotify
GOT IT GOOD (feat. Craig David),KAYTRANADA,r&b,391,0,North America,Male,spotify
"Take Me Home, Country Roads - Rerecorded",John Denver,pop,354,0,North America,Male,spotify
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,pop,819,0,North America,Female,spotify
In My Blood,Scarface,rap,696,0,North America,Male,spotify
Aunque Te Fuiste,Don Omar,latin,356,1,North America,Male,spotify
Cuando no la esperas,Javiera Mena,pop,186,1,Latin America,Female,spotify
Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix,David Guetta,edm,428,0,Europe,Male,spotify
Superstition - Single Version,Stevie Wonder,rap,318,0,North America,Male,spotify
Why Do You Love Me,Charlotte Lawrence,pop,872,0,North America,Female,spotify
Introducing Me,Nick Jonas,pop,428,0,North America,Male,spotify
No One,Dave Hollister,r&b,317,0,North America,Male,spotify
I Got A Stick,YBN Nahmir,rap,579,0,North America,Male,spotify
GANG (feat. Geolier),Samurai Jay,rap,469,1,Europe,Male,spotify
Never Keeping Secrets,Babyface,r&b,292,0,North America,Male,spotify
BOYFREN,LoveLeo,r&b,246,0,North America,Male,spotify
Deuces Remix,Chris Brown,r&b,1164,0,North America,Male,spotify
Congratulations - Remix,Post Malone,rap,540,0,North America,Male,spotify
I Need Love,LL Cool J,r&b,731,0,North America,Male,spotify
¿Por Que Te Demoras?,Plan B,latin,424,1,Europe,Male,spotify
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,pop,351,0,North America,Female,spotify
Speak To Me,Ari Lennox,r&b,282,0,North America,Female,spotify
"Any Time, Any Place",Janet Jackson,r&b,333,0,North America,Female,spotify
Old Town Road - Remix,Lil Nas X,pop,796,0,North America,Male,spotify
Everything Goes Black,LOOPERS,edm,327,0,Europe,Male,spotify
No Diggity,Alice Jemima,r&b,411,0,Europe,Female,spotify
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,r&b,536,0,North America,Male,spotify
The Love Club,Lorde,pop,299,0,Oceania,Female,spotify
Hand Me Downs,Mac Miller,rap,388,0,North America,Male,spotify
Lost Soul,Deniz Koyu,edm,188,0,Asia,Male,spotify
La Carretera,Prince Royce,latin,301,1,North America,Male,spotify
Money Talk,Rich The Kid,rap,634,0,North America,Male,spotify
Glen Coco,Chynna,rap,833,0,North America,Female,spotify
Wild Love - Jonas Blue Remix,James Bay,edm,275,0,Europe,Male,spotify
Me Against The World - Album Version (Edited),2Pac,rap,724,0,North America,Male,spotify
Over The Hills And Far Away,Gary Moore,rock,342,0,Europe,Male,spotify
Yo Tengo una Gata,Ozuna,latin,613,1,North America,Male,spotify
Tip Toe (feat. French Montana),Jason Derulo,r&b,522,0,North America,Male,spotify
Everybody Wants You - Remastered 2002,Billy Squier,rock,234,0,North America,Male,spotify
Instant Karma! (We All Shine On),John Lennon,rock,255,0,Europe,Male,spotify
So Anxious,Ginuwine,r&b,348,0,North America,Male,spotify
Fresko,Bhavi,rap,942,1,Latin America,Male,spotify
Starving,Hailee Steinfeld,pop,285,0,North America,Female,spotify
You and I,Wahlstedt,edm,180,0,Europe,Male,spotify
Kids in Love - Don Diablo Remix,Kygo,pop,434,0,Europe,Male,spotify
It's No Crime,Babyface,r&b,219,0,North America,Male,spotify
Ojos Negros,Kelvis Ochoa,r&b,394,1,Latin America,Male,spotify
Ordinary Day (ft. Hailee Steinfeld),Logic,rap,473,0,North America,Male,spotify
No Lie,Sean Paul,pop,743,0,Latin America,Male,spotify
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,rap,2724,0,North America,Male,spotify
I BE DAMNED,Comethazine,rap,571,0,North America,Male,spotify
Come Around,Hoodie Allen,pop,377,0,North America,Male,spotify
¿Qué Ha Pasao'?,Abraham Mateo,latin,1206,1,Europe,Male,spotify
Ms. Hill,Talib Kweli,rap,723,0,North America,Male,spotify
Billion Dollar Babies,Alice Cooper,rock,160,0,North America,Male,spotify
Nada Valgo Sin Tu Amor - MTV Unplugged,Juanes,latin,344,1,Latin America,Male,spotify
Tuesday (feat. Drake),ILOVEMAKONNEN,edm,584,0,North America,Male,spotify
Fairweather Friend,Johnny Gill,r&b,259,0,North America,Male,spotify
Rushing Back,Flume,r&b,652,0,Oceania,Male,spotify
No Lie - Sam Feldt Remix,Sean Paul,latin,743,0,Latin America,Male,spotify
Hypnotic,Zella Day,pop,303,0,North America,Female,spotify
Pikete,Farruko,latin,449,1,North America,Male,spotify
DaNcing in a RoOm,EZI,pop,332,0,North America,Female,spotify
Trouble On My Mind,Pusha T,rap,510,0,North America,Male,spotify
Jagodzianki (prod.by Abel de Jong),Malik Montana,rap,359,1,Europe,Male,spotify
Find You,Charming Horses,pop,198,0,Europe,Male,spotify
Ivy,Frank Ocean,pop,768,0,North America,Male,spotify
Protokol,Jamaika,rap,638,1,Europe,Male,spotify
Wild Things,Alessia Cara,pop,810,0,North America,Female,spotify
"Read All About It, Pt. III",Emeli Sandé,r&b,413,0,Europe,Female,spotify
Hip 2 Da Game,Lord Finesse,rap,461,0,North America,Male,spotify
Like Toy Soldiers,Eminem,rap,891,0,North America,Male,spotify
Turn Me Up - ViP Mix,MOTi,edm,362,0,Europe,Male,spotify
The Wall,Scarface,rap,585,0,North America,Male,spotify
That Girl,MJG,rap,684,0,North America,Male,spotify
Inolvidable,Farruko,latin,814,1,North America,Male,spotify
Yeah Yeah (feat. Young Thug),Travis Scott,rap,674,0,North America,Male,spotify
New Choppa,Playboi Carti,rap,549,0,North America,Male,spotify
Dreamer,Thomas Gold,latin,270,0,Europe,Male,spotify
Amantes - Versión Salsa,Greeicy,latin,331,1,Latin America,Female,spotify
Any Day Now,Ronnie Milsap,rock,182,0,North America,Male,spotify
What Is Love 2016 - Dimitri Vegas & Like Mike Remix,Lost Frequencies,edm,202,0,Europe,Male,spotify
I Love,Joyner Lucas,rap,659,0,North America,Male,spotify
Protection - Digitally Remastered 1996,Graham Parker,rock,311,0,Europe,Male,spotify
American Teen,Khalid,latin,357,0,North America,Male,spotify
Da Baddest (feat. Trey Songz),Big Kuntry King,rap,685,0,North America,Male,spotify
Lonely (feat. Lorine Chia),Jamila Woods,r&b,234,0,North America,Female,spotify
HUMBLE.,Kendrick Lamar,rap,599,0,North America,Male,spotify
I Have Nothing,Whitney Houston,r&b,308,0,North America,Female,spotify
Ordinary Pleasure,Toro y Moi,r&b,189,0,North America,Male,spotify
Sirens,Fleurie,pop,106,0,North America,Female,spotify
Crack A Bottle,Eminem,rap,891,0,North America,Male,spotify
Used To,Drake,r&b,962,0,North America,Male,spotify
Netflix & Chill,Fredo,r&b,818,0,Europe,Male,spotify
ROCKABYE BABY (feat. ScHoolboy Q),Joey Bada$$,rap,495,0,North America,Male,spotify
WTF (feat. Amber Van Day) - Tujamo Remix,HUGEL,edm,352,0,Europe,Male,spotify
Happier - Breathe Carolina Remix,Marshmello,pop,379,0,North America,Male,spotify
I Remember,Ady Suleiman,r&b,498,0,Europe,Male,spotify
Rise (feat. Skylar Grey),David Guetta,pop,233,0,Europe,Male,spotify
Chevy Van,Sammy Johns,rock,286,0,North America,Male,spotify
She,Elvis Costello,rock,209,0,Europe,Male,spotify
Adaptation,The Weeknd,r&b,323,0,North America,Male,spotify
I Am,James Arthur,r&b,279,0,Europe,Male,spotify
I'll Still Kill,50 Cent,rap,716,0,North America,Male,spotify
You're The One That I Like,Raphael Saadiq,r&b,377,0,North America,Male,spotify
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,pop,1179,0,North America,Male,spotify
Hurt U,EAUXMAR,pop,235,0,Europe,Male,spotify
Hood Nigga,Gorilla Zoe,rap,1244,0,North America,Male,spotify
It's Alright Now,Rahsaan Patterson,r&b,391,0,North America,Male,spotify
Sweet Caroline,Neil Diamond,latin,142,0,North America,Male,spotify
Delirious (feat. Tara McDonald) - Laidback Luke Remix,David Guetta,edm,347,0,Europe,Male,spotify
How Long,Charlie Puth,pop,720,0,North America,Male,spotify
All Those Years Ago - 2004 Mix,George Harrison,rock,218,0,Europe,Male,spotify
Bailando - Spanish Version,Enrique Iglesias,latin,912,1,Europe,Male,spotify
Uptown Funk,Mark Ronson,pop,1486,0,Europe,Male,spotify
Damselfly,Loyle Carner,r&b,345,0,Europe,Male,spotify
Ruff Ryders' Anthem - Re-Recorded,DMX,rap,618,0,North America,Male,spotify
"No Se De Ella ""My Space""",Don Omar,latin,524,1,North America,Male,spotify
Slow Jamz,Twista,r&b,1011,0,North America,Male,spotify
Ghost,Lianne La Havas,r&b,221,0,Europe,Female,spotify
Every Little Step - With Rap,Bobby Brown,r&b,556,0,North America,Male,spotify
Escape - Radio Edit,3LAU,edm,105,0,North America,Male,spotify
Dobbelt (feat. Dayzon),Jamaika,rap,431,1,Europe,Male,spotify
Let's Wait Awhile,Janet Jackson,r&b,263,0,North America,Female,spotify
Pop Style,Drake,latin,432,0,North America,Male,spotify
romance361,iann dior,rap,619,0,North America,Male,spotify
Cloud 9 - Original TV Movie Soundtrack,Dove Cameron,pop,291,0,North America,Female,spotify
Vato,Snoop Dogg,rap,912,0,North America,Male,spotify
Love 66,Mc Davi,rap,586,1,Latin America,Male,spotify
Best Friend,Young Thug,rap,1605,0,North America,Male,spotify
SLAY (feat. Quavo),YG,r&b,577,0,North America,Male,spotify
Slow Dance (feat. Ava Max),AJ Mitchell,pop,444,0,North America,Male,spotify
GLOWED UP,KAYTRANADA,pop,1016,0,North America,Male,spotify
Boots,Greyson Chance,pop,294,0,North America,Male,spotify
WORKIN ME,Quavo,latin,888,0,North America,Male,spotify
Do Me Like That,Penguin Prison,pop,386,0,North America,Male,spotify
Safe and Sound - Radio Edit,NLSN,latin,117,0,Europe,Male,spotify
Fake Love,Drake,r&b,483,0,North America,Male,spotify
Natural Born Killaz,Dr. Dre,rap,660,0,North America,Male,spotify
Pegaito a la Pared (feat. Plan B) - Remix,Tego Calderon,latin,864,1,North America,Male,spotify
Oye,Gloria Estefan,latin,211,0,North America,Female,spotify
Change My Heart,Ummet Ozcan,edm,401,0,Europe,Male,spotify
The Cure,Lady Gaga,pop,654,0,North America,Female,spotify
No Flockin',Kodak Black,rap,403,0,North America,Male,spotify
6 del mattino (feat. Brancar),Jake La Furia,r&b,322,1,Europe,Male,spotify
Here We Go Again,Aretha Franklin,r&b,381,0,North America,Female,spotify
