artist,song_title,gender,ethnicity,lyrics_source
Zain Bhikha,Our World,Male,Africa,genius
Amine,My Girl,Male,Africa,genius
Coenie De Villiers,Hier By My,Male,Africa,genius
Lucky Dube,Remember Me,Male,Africa,genius
Zain Bhikha,Orphan Child,Male,Africa,genius
Gert Vlok Nel,Waarom Ek Roep Na Jou Vanaand,Male,Africa,genius
Francois Van Coke,Ek Weet Nie,Male,Africa,genius
Lucky Dube,You Stand Alone,Male,Africa,genius
Watkin Tudor Jones,Burning Desire,Male,Africa,genius
Adie,Oh You Bring,Female,Africa,genius
Cheb Mami,Ma Vie 2 Fois,Male,Africa,genius
Laurika Rauch,Kinders Van Die Wind,Female,Africa,genius
Johnny Clegg,Day In The Life,Male,Africa,genius
Lucky Dube,Sleeping Dogs,Male,Africa,genius
Stef Bos,De Maan Is Niet Eenzaam,Male,Africa,genius
Stef Bos,De Tederheid,Male,Africa,genius
Irma,I Know,Female,Africa,genius
DJ Fresh,Nervous,Male,Africa,genius
Johnny Clegg,Magumede,Male,Africa,genius
Lucky Dube,Prisoner,Male,Africa,genius
Heinz Winckler,Another Day,Male,Africa,genius
Akon,Birthmark,Male,Africa,genius
Juanita Du Plessis,Glo My,Female,Africa,genius
Lucky Dube,Lovers In A Dangerous Time,Male,Africa,genius
Johannes Kerkorrel,Energie,Male,Africa,genius
DJ Fresh,The Edge,Male,Africa,genius
Howard Carpendale,One More Dance In Blue,Male,Africa,genius
Andy Allo,People Pleaser,Female,Africa,genius
Lucky Dube,Money Money Money,Male,Africa,genius
Cheb Mami,Machi Chaba,Male,Africa,genius
Johnny Clegg,Locked And Loaded,Male,Africa,genius
Miriam Makeba,Iya Guduza,Female,Africa,genius
Cheb Mami,Halili,Male,Africa,genius
Richard Bona,O Beta O Siba,Male,Africa,genius
Johannes Kerkorrel,Ossewa,Male,Africa,genius
Stef Bos,Als Dat Genoeg Is,Male,Africa,genius
DJ Fresh,Fight,Male,Africa,genius
Aleah,Breathe,Female,Africa,genius
Coenie De Villiers,Trigger-happy,Male,Africa,genius
Akon,Ghetto Blues,Male,Africa,genius
Stef Bos,Vergane Glorie,Male,Africa,genius
Andra,Telephone,Female,Africa,genius
Stef Bos,Hier Vertrok De Trein,Male,Africa,genius
Keziah Jones,Runaway,Male,Africa,genius
Zaho,Mea Culpa,Female,Africa,genius
Chris Letcher,Bird Caught Fire,Male,Africa,genius
Stef Bos,De Hemel,Male,Africa,genius
Stef Bos,Ik Heb Gedronken,Male,Africa,genius
Keziah Jones,My Kinda Girl,Male,Africa,genius
Lucky Dube,Mr. DJ,Male,Africa,genius
Emel Mathlouthi,Dhalem,Female,Africa,genius
Amine,Ma Vie,Male,Africa,genius
Stef Bos,De Nachtwaker,Male,Africa,genius
Stef Bos,Maria,Male,Africa,genius
Akon,Tired Of Runnin',Male,Africa,genius
Nicholis Louw,"Speel Jy My, Speel Ek Jou?",Male,Africa,genius
Cheb Mami,Viens Habibi,Male,Africa,genius
Nicholis Louw,Die Engel By My,Male,Africa,genius
Stef Bos,Didi Mala,Male,Africa,genius
Stef Bos,Goed Om Hier Te Zijn,Male,Africa,genius
Trevor Rabin,Love Will Find A Way,Male,Africa,genius
Lucky Dube,Life In The Movies,Male,Africa,genius
Idir,Pourquoi Cette Pluie ?,Male,Africa,genius
Stef Bos,Awuwa,Male,Africa,genius
Zaho,Bougez Vos,Female,Africa,genius
Stef Bos,Gek Zijn Is Gezond,Male,Africa,genius
Howard Carpendale,Wie Frei Willst Du Sein,Male,Africa,genius
Lucky Dube,Puppet Master,Male,Africa,genius
Richard Bona,Good Times,Male,Africa,genius
Akon,Get By,Male,Africa,genius
Miriam Makeba,Quit It,Female,Africa,genius
Manu Dibango,Soul Makossa,Male,Africa,genius
Lucky Dube,Keep On Knocking,Male,Africa,genius
Lucky Dube,Victims,Male,Africa,genius
Miriam Makeba,Malaika (My Angel),Female,Africa,genius
Bok Van Blerk,Bloubul Shebeen,Male,Africa,genius
Zain Bhikha,Time,Male,Africa,genius
Lucky Dube,Till You Lose It All,Male,Africa,genius
Andy Allo,Nothing More,Female,Africa,genius
Andy Allo,Superconductor,Female,Africa,genius
Andy Allo,Long Gone,Female,Africa,genius
Stef Bos,Alles Wat Ik Heb,Male,Africa,genius
Juanita Du Plessis,Ek Is Jammer,Female,Africa,genius
Lucky Dube,Born To Suffer,Male,Africa,genius
Akon,Over The Edge,Male,Africa,genius
Lucky Dube,Group Areas Act,Male,Africa,genius
Adie,Love Come Down,Female,Africa,genius
Stef Bos,De Macht Van De Muziek,Male,Africa,genius
Richard Bona,Dipita,Male,Africa,genius
Bok Van Blerk,De La Rey,Male,Africa,genius
Keziah Jones,The Invisible Ladder,Male,Africa,genius
Miriam Makeba,The Naughty Little Flea,Female,Africa,genius
Lucky Dube,Prisoner,Male,Africa,genius
Keziah Jones,Long Distance Love,Male,Africa,genius
Miriam Makeba,Pata Pata,Female,Africa,genius
Lira,Dumisa,Female,Africa,genius
Lucky Dube,Ding Ding Licky Licky Licky Bong,Male,Africa,genius
Akon,Saddest Day,Male,Africa,genius
Gert Vlok Nel,Beautiful In Beaufort-Wes,Male,Africa,genius
Stef Bos,De Laatste Ronde,Male,Africa,genius
Adie,Broken,Female,Africa,genius
Yoav,Beautiful Lie,Male,Africa,genius
Stef Bos,De Tovenaar,Male,Africa,genius
Akon,Bad Man Walkin,Male,Africa,genius
Keziah Jones,Beautiful Emilie,Male,Africa,genius
Stef Bos,Als Het Stil Is,Male,Africa,genius
Lucky Dube,Back To My Roots,Male,Africa,genius
Miriam Makeba,Lakutshn Ilanga,Female,Africa,genius
Stef Bos,Zondag In Soweto,Male,Africa,genius
Idir,Ssendu,Male,Africa,genius
Miriam Makeba,Pata Pata,Female,Africa,genius
Miriam Makeba,Iya Guduza,Female,Africa,genius
Lucky Dube,Feel Irie,Male,Africa,genius
Lucky Dube,Prisoner,Male,Africa,genius
Stef Bos,Didi Mala,Male,Africa,genius
Lucky Dube,Together As One,Male,Africa,genius
Coenie De Villiers,Vir Jou,Male,Africa,genius
Miriam Makeba,Olilili,Female,Africa,genius
Stef Bos,Mamira Fenna,Male,Africa,genius
Miriam Makeba,Saduva,Female,Africa,genius
Idir,A Vava Inouva 2,Male,Africa,genius
Stef Bos,Arme Schapen,Male,Africa,genius
Stef Bos,De Dag Zal Komen,Male,Africa,genius
Idir,Zwit Rwit,Male,Africa,genius
Stef Bos,De Radio,Male,Africa,genius
Stef Bos,Ik Heb Je Lief,Male,Africa,genius
Lucky Dube,"Running, Falling",Male,Africa,genius
Piet Botha,Marilyn Monroe,Male,Africa,genius
Stef Bos,Zondag In Soweto,Male,Africa,genius
Stef Bos,De Onderstroom,Male,Africa,genius
Laurika Rauch,Lord Of The Dance,Female,Africa,genius
Lucky Dube,The Hand That Giveth,Male,Africa,genius
Stef Bos,Zondag In Soweto,Male,Africa,genius
Howard Carpendale,Ti Amo,Male,Africa,genius
Howard Carpendale,Dann Geh Doch,Male,Africa,genius
Keziah Jones,Functional,Male,Africa,genius
Lucky Dube,Oh My Son,Male,Africa,genius
Laurika Rauch,Kinders Van Die Wind,Female,Africa,genius
Stef Bos,De Dag Zal Komen,Male,Africa,genius
Stef Bos,Wat Een Wonder,Male,Africa,genius
Stef Bos,De Onderstroom,Male,Africa,genius
Stef Bos,Ginette,Male,Africa,genius
Miriam Makeba,Mbube,Female,Africa,genius
Lucky Dube,I Want To Know What Love Is,Male,Africa,genius
Keziah Jones,Neptune,Male,Africa,genius
Keziah Jones,Where Is Life?,Male,Africa,genius
Stef Bos,De Tovenaar,Male,Africa,genius
Stef Bos,Ik Heb Je Lief,Male,Africa,genius
Idir,Zwit Rwit,Male,Africa,genius
Laurika Rauch,Kinders Van Die Wind,Female,Africa,genius
Idir,Ssendu,Male,Africa,genius
Idir,A Vava Inouva,Male,Africa,genius
Jack Parow,Eksie Ou,Male,Africa,genius
Miriam Makeba,Nomeva,Female,Africa,genius
Rebecca St. James,Forgive Me,Female,Oceania,genius
Steve Kilbey,Nonapology,Male,Oceania,genius
Brooke Fraser,Jack Kerouac,Female,Oceania,genius
Rick Springfield,Carry Me Away,Male,Oceania,genius
Micky Green,White T-Shirt,Female,Oceania,genius
Olivia Newton-John,If You Love Me (Let Me Know),Female,Oceania,genius
Butterfly Boucher,Scary Fragile,Female,Oceania,genius
Savage,I Love The Islands,Male,Oceania,genius
Tim Finn,In Your Sway,Male,Oceania,genius
Margaret Urlich,Boy In The Moon,Female,Oceania,genius
Colin Buchanan,The Joy Of Following Jesus,Male,Oceania,genius
Monique Brumby,Fool For You,Female,Oceania,genius
Lenka,Bring Me Down,Female,Oceania,genius
John Farnham,Youre The Voice,Male,Oceania,genius
Natalie Imbruglia,My Own Movie,Female,Oceania,genius
Slim Dusty,Trumby,Male,Oceania,genius
Kylie Minogue,Nothing To Lose,Female,Oceania,genius
Natalie Imbruglia,Diving In The Deep End,Female,Oceania,genius
Olivia Newton-John,Falling,Female,Oceania,genius
Holly Throsby,We Carry,Female,Oceania,genius
Rebecca St. James,Reborn,Female,Oceania,genius
Annah Mac,Celia,Female,Oceania,genius
Kylie Minogue,In Your Eyes,Female,Oceania,genius
Tina Arena,Now I Can Dance,Female,Oceania,genius
Che-Fu,Random,Male,Oceania,genius
Andrew Stockdale,Everyday Drone,Male,Oceania,genius
Ben Lee,Ship My Body Home,Male,Oceania,genius
Adam Harvey,Genie In The Bottle,Male,Oceania,genius
Darren Hanlon,Eli Wallach,Male,Oceania,genius
Darren Hanlon,A To Z,Male,Oceania,genius
Natalie Bassingthwaighte,Superhuman,Female,Oceania,genius
Jessica Mauboy,Empty,Female,Oceania,genius
Delta Goodrem,Fever,Female,Oceania,genius
Kylie Minogue,Drunk,Female,Oceania,genius
Rick Springfield,Under The Milky Way,Male,Oceania,genius
Darren Hayes,The Heart Wants What It Wants,Male,Oceania,genius
Andy Gibb,Man On Fire,Male,Oceania,genius
Keith Urban,Even The Stars Fall 4 U,Male,Oceania,genius
Hayley Westenra,Sonny,Female,Oceania,genius
Natalie Imbruglia,On The Run,Female,Oceania,genius
Sia,Little Black Sandals,Female,Oceania,genius
Rebecca St. James,Speak To Me,Female,Oceania,genius
Massad,Tear My Heart Out,Male,Oceania,genius
Tuka,Shift,Male,Oceania,genius
Kasey Chambers,Saturated,Female,Oceania,genius
Gin Wigmore,Under My Skin,Female,Oceania,genius
Abby Dobson,You Will Find Your Way,Female,Oceania,genius
Jon English,Everytime I Sing A Love Song,Male,Oceania,genius
Jon English,Walk Across The World,Male,Oceania,genius
New Buffalo,16 Beats,Female,Oceania,genius
Sia,Reaper,Female,Oceania,genius
Helen Reddy,Here In My Arms,Female,Oceania,genius
Hayley Westenra,Heaven,Female,Oceania,genius
Flume,Change,Male,Oceania,genius
Casey Donovan,Symphony Of Life,Female,Oceania,genius
Peter Koppes,The Lost Peace,Male,Oceania,genius
Peter Allen,Once Before I Go,Male,Oceania,genius
Hayley Westenra,Amazing Grace,Female,Oceania,genius
Diana Anaid,Forola,Female,Oceania,genius
Stan Walker,Choose You,Male,Oceania,genius
Hayley Westenra,Abide With Me,Female,Oceania,genius
Bic Runga,Making A Scene,Female,Oceania,genius
James Reyne,Stagefright,Male,Oceania,genius
Amber Lawrence,Song To Self,Female,Oceania,genius
Aaradhna,I Wish It Would Rain,Female,Oceania,genius
Natalie Imbruglia,That Day,Female,Oceania,genius
John Schumann,Eyes On Fire,Male,Oceania,genius
Jimmy Barnes,Hardline,Male,Oceania,genius
Russell Morris,Boom Town,Male,Oceania,genius
James Keelaghan,Woodsmoke And Oranges,Male,Oceania,genius
Missy Higgins,100 Round The Bends,Female,Oceania,genius
Colin Hay,Love Is Innocent,Male,Oceania,genius
Delta Goodrem,Love Thy Will Be Done,Female,Oceania,genius
Vance Joy,Wasted Time,Male,Oceania,genius
Kylie Minogue,Word Is Out,Female,Oceania,genius
TyDi,So Alone,Male,Oceania,genius
Olivia Newton-John,If We Only Have Love,Female,Oceania,genius
Natalie Imbruglia,Shiver,Female,Oceania,genius
Catcall,The Warmest Place,Female,Oceania,genius
Dannii Minogue,Creep,Female,Oceania,genius
Kylie Minogue,Kiss Me Once,Female,Oceania,genius
Sia,Big Girls Cry,Female,Oceania,genius
Kamahl,The Elephant Song,Male,Oceania,genius
Rick Price,Bridge Building Man,Male,Oceania,genius
Marc Hamilton,Comme JAi Toujours Envie DAimer,Male,Oceania,genius
Sarah Blasko,I Could Never Belong To You,Female,Oceania,genius
Gabriella Cilmi,Echo Beach,Female,Oceania,genius
Rebecca St. James,Go And Sin No More,Female,Oceania,genius
Jason Donovan,Oxygen,Male,Oceania,genius
Rebecca Lavelle,Take The Rain Away,Female,Oceania,genius
Tania Kernaghan,Where The Murray Meets The Darling,Female,Oceania,genius
Delta Goodrem,Predictable,Female,Oceania,genius
Tim Finn,Growing Pains,Male,Oceania,genius
Gotye,Eyes Wide Open,Male,Oceania,genius
Dannii Minogue,A Piece Of Time,Female,Oceania,genius
Rebecca St. James,I Adore You,Female,Oceania,genius
Michelle Tumes,With The Angels,Female,Oceania,genius
Drapht,Rapunzel,Male,Oceania,genius
Marty Willson-Piper,St. Germain,Male,Oceania,genius
Rebecca St. James,Beautiful Stranger,Female,Oceania,genius
Darren Hanlon,Cheat The Future,Male,Oceania,genius
Jim White,Blindly We Go,Male,Oceania,genius
Amiel,All Of Me,Female,Oceania,genius
Kasey Chambers,Southern Kind Of Life,Female,Oceania,genius
Steve Kilbey,Midnite In America,Male,Oceania,genius
Darren Hayes,Maybe,Male,Oceania,genius
Dannii Minogue,Going Going Gone,Female,Oceania,genius
Dami Im,Without You,Female,Oceania,genius
Lee Kernaghan,Cobar Line,Male,Oceania,genius
Cody Simpson,Angel,Male,Oceania,genius
Natalie Imbruglia,Satisfied,Female,Oceania,genius
Mick Harvey,A Walk On The Wild Side,Male,Oceania,genius
Sarah Blasko,Cinders,Female,Oceania,genius
Che Fu,Fade-Away,Male,Oceania,genius
M. Craft,Sparrows,Male,Oceania,genius
Kimbra,Carolina,Female,Oceania,genius
Ben Lee,Thank You,Male,Oceania,genius
Robert Forster,Warm Nights,Male,Oceania,genius
Angus Stone,Be What You Be,Male,Oceania,genius
John Farnham,Burn For You,Male,Oceania,genius
Olivia Newton-John,Silvery Rain,Female,Oceania,genius
Peter Koppes,Met Her Today,Male,Oceania,genius
Lior,Landslide,Male,Oceania,genius
Colin Hay,She Keeps Me Dreaming,Male,Oceania,genius
James Keelaghan,I Would I Were,Male,Oceania,genius
Lenka,Everything At Once,Female,Oceania,genius
Whitley,More Than Life,Female,Oceania,genius
Darren Hayes,On The Verge Of Something Wonderful,Male,Oceania,genius
Cody Simpson,IYiYi,Male,Oceania,genius
Dannii Minogue,This Is The Way,Female,Oceania,genius
Rick Springfield,Celebrate Youth,Male,Oceania,genius
Rick Springfield,If We Help One Another,Male,Oceania,genius
Olivia Newton-John,Slow Down Jackson,Female,Oceania,genius
Xavier Rudd,Green Spandex,Male,Oceania,genius
Rick Springfield,Souls,Male,Oceania,genius
Paulini,Superwoman,Female,Oceania,genius
Natalie Imbruglia,Let My Love Open The Door,Female,Oceania,genius
Steve McDonald,Loch Lomond,Male,Oceania,genius
Lee Kernaghan,When The Snow Falls On The Alice,Male,Oceania,genius
Olivia Newton-John,Jolene,Female,Oceania,genius
Steve Kilbey,The Neverness Hoax,Male,Oceania,genius
Adam Brand,Number 34,Male,Oceania,genius
Turk Tresize,Wasted,Male,Oceania,genius
Natalie Gauci,Here I Am,Female,Oceania,genius
Vanessa Amorosi,Bitter Twist,Female,Oceania,genius
Rick Springfield,Inside Silvia,Male,Oceania,genius
Ben Lee,American Television,Male,Oceania,genius
Missy Higgins,The Special Two,Female,Oceania,genius
Hayley Westenra,Where Do We Go From Here (with Blake),Female,Oceania,genius
Peter Koppes,Her Mark,Male,Oceania,genius
Tim Minchin,Bruce,Male,Oceania,genius
Gin Wigmore,Hey Ho,Female,Oceania,genius
Monique Brumby,Lava,Female,Oceania,genius
Andy Gibb,Warm Ride,Male,Oceania,genius
Vanessa Amorosi,Turning Up The Heat,Female,Oceania,genius
Ben Lummis,Searchin',Male,Oceania,genius
Adalita,Too Far Gone,Female,Oceania,genius
Mick Harvey,Here I Am,Male,Oceania,genius
Amiel,Meet Me In The Red Room,Female,Oceania,genius
Anthony Callea,Wanna Be The One,Male,Oceania,genius
Drapht,Skit,Male,Oceania,genius
Olivia Newton-John,If You Love Me (Let Me Know),Female,Oceania,genius
Rick Springfield,Silent Night,Male,Oceania,genius
Monique Brumby,Overcome,Female,Oceania,genius
Tuka,Nirvana,Male,Oceania,genius
Kate Miller-Heidke,Ride This Feeling,Female,Oceania,genius
Kasey Chambers,A Little Bit Lonesome,Female,Oceania,genius
Tina Arena,Flashback,Female,Oceania,genius
Kate Miller-Heidke,Stayin' Alive,Female,Oceania,genius
Adalita,He Wrote,Female,Oceania,genius
Kylie Minogue,Love At First Sight,Female,Oceania,genius
Olivia Newton-John,Everything Love Is,Female,Oceania,genius
Mick Harvey,Intoxicated Man,Male,Oceania,genius
Luke Buda,Special Surprise,Male,Oceania,genius
Margaret Urlich,Your Love,Female,Oceania,genius
Sia,Clap Your Hands,Female,Oceania,genius
Kylie Minogue,Always Find The Time,Female,Oceania,genius
Tina Arena,Chains,Female,Oceania,genius
Holly Throsby,The Time It Takes,Female,Oceania,genius
Robert Forster,"Let Your Light In, Babe",Male,Oceania,genius
Adam Brand,Words Cannot Say,Male,Oceania,genius
Keith Urban,Love We Got Goin',Male,Oceania,genius
Delta Goodrem,If I Forget,Female,Oceania,genius
Lee Kernaghan,1959,Male,Oceania,genius
Colin Buchanan,Without You,Male,Oceania,genius
Kylie Minogue,Red Blooded Woman,Female,Oceania,genius
Jimmy Barnes,Sister Mercy,Male,Oceania,genius
Peter Andre,The Tracks Of My Tears,Male,Oceania,genius
Peter Andre,Insania,Male,Oceania,genius
Deni Hines,I Like The Way,Female,Oceania,genius
Brooke Fraser,Who Are We Fooling?,Female,Oceania,genius
Rebecca St. James,Wait For Me,Female,Oceania,genius
Jason Owen,If Tomorrow Never Comes,Male,Oceania,genius
Rick Springfield,Born Out Of Time,Male,Oceania,genius
Colin Hay,Walk Amongst His Ruins,Male,Oceania,genius
Tim Finn,Salt To The Sea,Male,Oceania,genius
M. Craft,You Are The Music,Male,Oceania,genius
David Campbell,Hope,Male,Oceania,genius
Gin Wigmore,Nothing To No One,Female,Oceania,genius
Rick Springfield,Calling All Girls,Male,Oceania,genius
Missy Higgins,Any Day Now,Female,Oceania,genius
Sam Sparro,Return To Paradise,Male,Oceania,genius
Olivia Newton-John,I Need Love,Female,Oceania,genius
Darlene Zschech,My Jesus I Love Thee (I Love You Jesus),Female,Oceania,genius
Helen Reddy,Here In My Arms,Female,Oceania,genius
Courtney Barnett,Are You Looking After Yourself?,Female,Oceania,genius
Butterfly Boucher,Warning Bell,Female,Oceania,genius
Bic Runga,Delight,Female,Oceania,genius
Jamie McDell,Life In Sunshine,Female,Oceania,genius
Peter Koppes,Arabia,Male,Oceania,genius
Russell Hitchcock,The River Cried,Male,Oceania,genius
John Farnham,Playing To Win,Male,Oceania,genius
Helen Reddy,Love Song For Jeffrey,Female,Oceania,genius
Abbe May,Design Desire,Female,Oceania,genius
Rebecca St. James,Show Your Glory,Female,Oceania,genius
Kylie Minogue,I Believe In You,Female,Oceania,genius
Kate Ceberano,Pash,Female,Oceania,genius
Olivia Newton-John,Help Me Make It Through The Night,Female,Oceania,genius
Robert Forster,Bird,Male,Oceania,genius
Sia,One Million Bullets,Female,Oceania,genius
Bernard Fanning,Thrill Is Gone,Male,Oceania,genius
Neil Finn,Last To Know,Male,Oceania,genius
Alex Lloyd,Sleep,Male,Oceania,genius
Kylie Minogue,Red Blooded Woman,Female,Oceania,genius
Xavier Rudd,Little Chief,Male,Oceania,genius
Missy Higgins,Dancing Dirt Into The Snow,Female,Oceania,genius
Peter Koppes,Lullaby,Male,Oceania,genius
Urthboy,To The Bank,Male,Oceania,genius
Rebecca St. James,Come Quickly Lord,Female,Oceania,genius
Mareko,"Stop, Drop And Roll",Male,Oceania,genius
Jim White,That Girl From Brownsville Texas,Male,Oceania,genius
Timmy Trumpet,Freaks,Male,Oceania,genius
Whitley,The Submarine,Female,Oceania,genius
Guy Sebastian,Summer Love,Male,Oceania,genius
Colin Buchanan,Hooley Dooley Wop Bam Boom! (Jesus Christ Is Coming Soon),Male,Oceania,genius
Olivia Newton-John,Hopelessly Devoted To You,Female,Oceania,genius
Michael Hutchence,Put The Pieces Back Together,Male,Oceania,genius
Kylie Minogue,Give Me Just A Little More Time,Female,Oceania,genius
Hayley Westenra,Never Say Goodbye,Female,Oceania,genius
Jon English,Sandcastles,Male,Oceania,genius
Lisa Mitchell,Walk With Me,Female,Oceania,genius
Andy Gibb,Melody,Male,Oceania,genius
Andrew Morris,Heart Bounded By Sorrow,Male,Oceania,genius
Bic Runga,All Fall Down,Female,Oceania,genius
Dami Im,Bridge Over Troubled Waters,Female,Oceania,genius
Kylie Minogue,Did It Again,Female,Oceania,genius
Sarah Blasko,An Arrow,Female,Oceania,genius
John Farnham,When The War Is Over,Male,Oceania,genius
M. Craft,Snowbird,Male,Oceania,genius
Cody Simpson,Paradise,Male,Oceania,genius
Rebecca St. James,Wait For Me,Female,Oceania,genius
Guy Sebastian,All I Need Is You,Male,Oceania,genius
Hayley Westenra,Sonny,Female,Oceania,genius
Vanessa Amorosi,One Thing Leads To Another,Female,Oceania,genius
Kylie Minogue,Did It Again,Female,Oceania,genius
James Reyne,Lizards From Lounges,Male,Oceania,genius
Rick Springfield,Venus In Overdrive,Male,Oceania,genius
Darren Hanlon,Happy Birthday (For Yesterday),Male,Oceania,genius
Hayley Westenra,Pokarekare Ana,Female,Oceania,genius
Grant McLennan,Haunted House,Male,Oceania,genius
Hayley Westenra,Wishing You Were Somehow Here Again,Female,Oceania,genius
Natalie Imbruglia,Fun,Female,Oceania,genius
Jim White,Bluebird,Male,Oceania,genius
Mal Webb,Carrot,Male,Oceania,genius
Steve Kilbey,Stone Gods,Male,Oceania,genius
Aaradhna,Shake,Female,Oceania,genius
Olivia Newton-John,Sam,Female,Oceania,genius
Keith Urban,Arms Of Mary,Male,Oceania,genius
Rick Price,Church On Fire,Male,Oceania,genius
Hayley Westenra,Haru Yo Koi,Female,Oceania,genius
Steve Kilbey,Danielle,Male,Oceania,genius
Stan Walker,Galaxy,Male,Oceania,genius
Natalie Imbruglia,Pigeons And Crumbs,Female,Oceania,genius
Jimmy Barnes,Love And Hate,Male,Oceania,genius
Rick Springfield,Human Touch,Male,Oceania,genius
Darlene Zschech,Glorify Your Name,Female,Oceania,genius
Rick Springfield,Alien Virus,Male,Oceania,genius
Tina Arena,Chains,Female,Oceania,genius
Olivia Newton-John,All The Pretty Little Horses,Female,Oceania,genius
Darren Hanlon,Title Fight: Heart V Mind,Male,Oceania,genius
Kylie Minogue,All The Lovers,Female,Oceania,genius
Hayley Westenra,Cinema Paradiso - Profumo Di Limone,Female,Oceania,genius
Dave Dobbyn,Rain On Fire,Male,Oceania,genius
Russell Crowe,Stars,Male,Oceania,genius
Rebecca Lavelle,Never Enough,Female,Oceania,genius
Darren Hanlon,Old Dream,Male,Oceania,genius
Natalie Imbruglia,Butterflies,Female,Oceania,genius
Colin Hay,Broken Love,Male,Oceania,genius
Rowland S. Howard,Exit Everything,Male,Oceania,genius
Natalie Imbruglia,Leave Me Alone,Female,Oceania,genius
Ben Lummis,Kiss From A Rose,Male,Oceania,genius
Olivia Newton-John,Moth To A Flame,Female,Oceania,genius
Samantha Jade,Step Up,Female,Oceania,genius
Cassie Davis,Mess Of Mine,Female,Oceania,genius
Darlene Zschech,Let The Peace Of God Reign,Female,Oceania,genius
Abbe May,Taurus Chorus,Female,Oceania,genius
Darren Hanlon,The Kickstand Song,Male,Oceania,genius
Mark Lizotte,Dig,Male,Oceania,genius
Kate Miller-Heidke,Thanks For Today,Female,Oceania,genius
Urthboy,Modern Day Folk,Male,Oceania,genius
Phrase,Spaceship,Male,Oceania,genius
Adalita,I Want Your Love,Female,Oceania,genius
Andy Gibb,After Dark,Male,Oceania,genius
Neil Finn,The Climber,Male,Oceania,genius
Hayley Westenra,Shenandoah,Female,Oceania,genius
Sia,The Girl You Lost To Cocaine,Female,Oceania,genius
Andrew Stockdale,Let Somebody Love You,Male,Oceania,genius
Lisa Mitchell,Heroine,Female,Oceania,genius
Darren Hayes,Falling At Your Feet,Male,Oceania,genius
Sia,Numb,Female,Oceania,genius
Che-Fu,Top Floor,Male,Oceania,genius
Catherine Britt,Dirt Cheap,Female,Oceania,genius
Ainslie Wills,Early Morning Light,Female,Oceania,genius
Ainslie Wills,Ocean,Female,Oceania,genius
Maria Pensar,Det Vackraste,Female,Oceania,genius
Hayley Westenra,Ave Maria (Franz Schubert),Female,Oceania,genius
Olivia Newton-John,Physical,Female,Oceania,genius
Gin Wigmore,Dying Day,Female,Oceania,genius
Dannii Minogue,Undeniable,Female,Oceania,genius
Steve Kilbey,English Kiss,Male,Oceania,genius
Marty Willson-Piper,After Eight,Male,Oceania,genius
Vance Joy,Play With Fire,Male,Oceania,genius
Guy Sebastian,Kryptonite,Male,Oceania,genius
Anika Moa,Annie Goes To Sleep,Female,Oceania,genius
Sia,So Bored,Female,Oceania,genius
Olivia Newton-John,I Honestly Love You,Female,Oceania,genius
Darren Hanlon,Elbows,Male,Oceania,genius
Josef Salvat,The Days,Male,Oceania,genius
Dannii Minogue,Party Jam,Female,Oceania,genius
Rick Springfield,Oblivious,Male,Oceania,genius
Peter Andre,All About Us,Male,Oceania,genius
Troy Cassar-Daley,Yer So Bad,Male,Oceania,genius
Sam Sparro,Clingwrap,Male,Oceania,genius
Ben Lee,Trying To Sneeze,Male,Oceania,genius
Dub FX,Wandering Love,Male,Oceania,genius
Anthony Callea,Bridge Over Troubled Water,Male,Oceania,genius
Rob Dougan,One And The Same (Coda),Male,Oceania,genius
John Farnham,Underneath The Arches,Male,Oceania,genius
Nikki Webster,Red Light Green Light,Female,Oceania,genius
Kylie Minogue,Live And Learn,Female,Oceania,genius
Bernard Fanning,Which Way Home,Male,Oceania,genius
Neil Finn,Rest Of The Day Off,Male,Oceania,genius
Lisa Mitchell,A Little Ramblin' Blues For Any Hour,Female,Oceania,genius
Jimmy Barnes,"Cold, Cold Heart",Male,Oceania,genius
Olivia Newton-John,If You Love Me (Let Me Know),Female,Oceania,genius
Jessica Mauboy,Burn,Female,Oceania,genius
Hayley Westenra,Cinema Paradiso - Profumo Di Limone,Female,Oceania,genius
Steve Kilbey,Fall In Love,Male,Oceania,genius
Tuka,Too Soon,Male,Oceania,genius
Dami Im,Beauty In The World,Female,Oceania,genius
Diana Anaid,RUOK?,Female,Oceania,genius
Orianthi,Suffocated,Female,Oceania,genius
Vanessa Amorosi,Pray For Love,Female,Oceania,genius
Bertie Blackman,Valentine,Female,Oceania,genius
Bic Runga,Roll Into One,Female,Oceania,genius
Rebecca St. James,Here I Am To Worship,Female,Oceania,genius
Keith Urban,I Thought You Knew,Male,Oceania,genius
Josef Salvat,Closer,Male,Oceania,genius
Rowland S. Howard,I Burnt Your Clothes,Male,Oceania,genius
Rick Springfield,Walking On The Edge,Male,Oceania,genius
Candice Alley,She Dreams,Female,Oceania,genius
Mal Webb,Girl Of My Dreams,Male,Oceania,genius
Darren Hayes,Insatiable,Male,Oceania,genius
Neil Finn,Faster Than Light,Male,Oceania,genius
Daniel Merriweather,Impossible,Male,Oceania,genius
Kate Miller-Heidke,The Tiger Inside Will Eat The Child,Female,Oceania,genius
Jessica Mauboy,Never Be The Same,Female,Oceania,genius
Rebecca St. James,Here I Am,Female,Oceania,genius
Olivia Newton-John,O Holy Night,Female,Oceania,genius
